[2023-05-31 15:28:38] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-05-31 15:28:38] Command line arguments:
- args.data_root             : /mnt/local/datasets/manual/
- args.data_name             : imagenet2012
- args.resnet_depth          : 101
- args.resnet_width          : 1
- args.batch_size            : 2048
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 64000
- args.optim_lr              : 0.8
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.0
- args.optim_global_clipping : None
- args.save                  : ./save/imagenet2012/resnet_101x1-batch_2048-iter_64k-lr_0.8-wd_0.0001-fp16/42/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-05-31 15:28:39] Multiple local devices are detected:
[StreamExecutorGpuDevice(id=0, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=1, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=2, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=3, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=4, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=5, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=6, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=7, process_index=0, slice_index=0)]

[2023-05-31 15:29:08] images.shape: (8, 256, 224, 224, 3), output.shape: (8, 256, 2048)
[2023-05-31 22:14:02] [Iter   47000/  64000] trn/loss 1.419e+00, trn/negative_log_likelihood 1.419e+00, trn/w_norm 1.276e+02, trn/g_norm 1.255e+00, trn/lr 1.688e-01, trn/dyn_scale 6.554e+04, val/acc 6.811e-01, val/nll 1.281e+00, val/best_acc 6.849e-01
[2023-05-31 22:22:33] [Iter   48000/  64000] trn/loss 1.382e+00, trn/negative_log_likelihood 1.382e+00, trn/w_norm 1.259e+02, trn/g_norm 1.293e+00, trn/lr 1.514e-01, trn/dyn_scale 6.554e+04, val/acc 6.963e-01, val/nll 1.211e+00, val/best_acc 6.963e-01 (best_acc: 6.849e-01 -> 6.963e-01)
[2023-05-31 22:31:03] [Iter   49000/  64000] trn/loss 1.341e+00, trn/negative_log_likelihood 1.341e+00, trn/w_norm 1.241e+02, trn/g_norm 1.328e+00, trn/lr 1.347e-01, trn/dyn_scale 6.554e+04, val/acc 6.958e-01, val/nll 1.224e+00, val/best_acc 6.963e-01
[2023-05-31 22:39:33] [Iter   50000/  64000] trn/loss 1.306e+00, trn/negative_log_likelihood 1.306e+00, trn/w_norm 1.224e+02, trn/g_norm 1.369e+00, trn/lr 1.187e-01, trn/dyn_scale 6.554e+04, val/acc 7.010e-01, val/nll 1.190e+00, val/best_acc 7.010e-01 (best_acc: 6.963e-01 -> 7.010e-01)
[2023-05-31 22:48:04] [Iter   51000/  64000] trn/loss 1.258e+00, trn/negative_log_likelihood 1.258e+00, trn/w_norm 1.205e+02, trn/g_norm 1.409e+00, trn/lr 1.037e-01, trn/dyn_scale 6.554e+04, val/acc 7.175e-01, val/nll 1.128e+00, val/best_acc 7.175e-01 (best_acc: 7.010e-01 -> 7.175e-01)
[2023-05-31 22:56:35] [Iter   52000/  64000] trn/loss 1.218e+00, trn/negative_log_likelihood 1.218e+00, trn/w_norm 1.187e+02, trn/g_norm 1.454e+00, trn/lr 8.946e-02, trn/dyn_scale 6.554e+04, val/acc 7.199e-01, val/nll 1.116e+00, val/best_acc 7.199e-01 (best_acc: 7.175e-01 -> 7.199e-01)
[2023-05-31 23:05:03] [Iter   53000/  64000] trn/loss 1.170e+00, trn/negative_log_likelihood 1.170e+00, trn/w_norm 1.169e+02, trn/g_norm 1.501e+00, trn/lr 7.618e-02, trn/dyn_scale 6.554e+04, val/acc 7.320e-01, val/nll 1.054e+00, val/best_acc 7.320e-01 (best_acc: 7.199e-01 -> 7.320e-01)
[2023-05-31 23:13:45] [Iter   54000/  64000] trn/loss 1.126e+00, trn/negative_log_likelihood 1.126e+00, trn/w_norm 1.151e+02, trn/g_norm 1.551e+00, trn/lr 6.387e-02, trn/dyn_scale 6.554e+04, val/acc 7.368e-01, val/nll 1.030e+00, val/best_acc 7.368e-01 (best_acc: 7.320e-01 -> 7.368e-01)
[2023-05-31 23:22:23] [Iter   55000/  64000] trn/loss 1.079e+00, trn/negative_log_likelihood 1.079e+00, trn/w_norm 1.134e+02, trn/g_norm 1.605e+00, trn/lr 5.255e-02, trn/dyn_scale 6.554e+04, val/acc 7.437e-01, val/nll 1.006e+00, val/best_acc 7.437e-01 (best_acc: 7.368e-01 -> 7.437e-01)
[2023-05-31 23:30:58] [Iter   56000/  64000] trn/loss 1.024e+00, trn/negative_log_likelihood 1.024e+00, trn/w_norm 1.118e+02, trn/g_norm 1.654e+00, trn/lr 4.227e-02, trn/dyn_scale 6.554e+04, val/acc 7.568e-01, val/nll 9.567e-01, val/best_acc 7.568e-01 (best_acc: 7.437e-01 -> 7.568e-01)
