[2023-02-03 07:16:30] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-03 07:16:30] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.9
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/bs-0080_ne-0500_lr-0.0000010_mo-0.90_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-03 07:21:52] [Epoch    69/  500] trn/posterior_energy -1.212e+05, trn/neg_log_likelihood  2.116e+01, trn/neg_log_prior -1.212e+05, trn/lr  9.544e-07, val/acc 8.086e-01, val/nll 9.082e-01
[2023-02-03 07:21:56] [Epoch    70/  500] trn/posterior_energy -1.213e+05, trn/neg_log_likelihood  2.163e+01, trn/neg_log_prior -1.213e+05, trn/lr  9.531e-07, val/acc 8.093e-01, val/nll 9.037e-01
[2023-02-03 07:22:01] [Epoch    71/  500] trn/posterior_energy -1.214e+05, trn/neg_log_likelihood  2.206e+01, trn/neg_log_prior -1.214e+05, trn/lr  9.517e-07, val/acc 8.075e-01, val/nll 9.023e-01
[2023-02-03 07:22:06] [Epoch    72/  500] trn/posterior_energy -1.215e+05, trn/neg_log_likelihood  2.251e+01, trn/neg_log_prior -1.216e+05, trn/lr  9.504e-07, val/acc 8.080e-01, val/nll 8.985e-01
[2023-02-03 07:22:10] [Epoch    73/  500] trn/posterior_energy -1.216e+05, trn/neg_log_likelihood  2.290e+01, trn/neg_log_prior -1.217e+05, trn/lr  9.490e-07, val/acc 8.081e-01, val/nll 8.959e-01
[2023-02-03 07:22:14] [Epoch    74/  500] trn/posterior_energy -1.217e+05, trn/neg_log_likelihood  2.329e+01, trn/neg_log_prior -1.218e+05, trn/lr  9.476e-07, val/acc 8.076e-01, val/nll 8.935e-01
[2023-02-03 07:22:20] [Epoch    75/  500] trn/posterior_energy -1.219e+05, trn/neg_log_likelihood  2.364e+01, trn/neg_log_prior -1.219e+05, trn/lr  9.462e-07, val/acc 8.076e-01, val/nll 8.928e-01
[2023-02-03 07:22:25] [Epoch    76/  500] trn/posterior_energy -1.220e+05, trn/neg_log_likelihood  2.391e+01, trn/neg_log_prior -1.220e+05, trn/lr  9.448e-07, val/acc 8.090e-01, val/nll 8.873e-01
[2023-02-03 07:22:29] [Epoch    77/  500] trn/posterior_energy -1.220e+05, trn/neg_log_likelihood  2.420e+01, trn/neg_log_prior -1.221e+05, trn/lr  9.433e-07, val/acc 8.075e-01, val/nll 8.867e-01
[2023-02-03 07:22:33] [Epoch    78/  500] trn/posterior_energy -1.221e+05, trn/neg_log_likelihood  2.444e+01, trn/neg_log_prior -1.222e+05, trn/lr  9.419e-07, val/acc 8.072e-01, val/nll 8.874e-01
[2023-02-03 07:22:39] [Epoch    79/  500] trn/posterior_energy -1.222e+05, trn/neg_log_likelihood  2.469e+01, trn/neg_log_prior -1.223e+05, trn/lr  9.404e-07, val/acc 8.086e-01, val/nll 8.831e-01
[2023-02-03 07:22:43] [Epoch    80/  500] trn/posterior_energy -1.223e+05, trn/neg_log_likelihood  2.485e+01, trn/neg_log_prior -1.224e+05, trn/lr  9.389e-07, val/acc 8.082e-01, val/nll 8.811e-01
[2023-02-03 07:22:47] [Epoch    81/  500] trn/posterior_energy -1.224e+05, trn/neg_log_likelihood  2.501e+01, trn/neg_log_prior -1.224e+05, trn/lr  9.374e-07, val/acc 8.084e-01, val/nll 8.809e-01
