[2023-02-17 01:23:41] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-17 01:23:41] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.97
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.01
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.970_b2-0.999_wd-0.0010_eps-1e-1_rho-0.0100_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-17 01:23:47] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-17 01:35:24] [Epoch    77/  200] trn/loss 1.638e+00, trn/lr 2.041e+00, trn/scale 1.010e-01, val/acc 1.414e-01, val/nll 3.052e+00
[2023-02-17 01:35:32] [Epoch    78/  200] trn/loss 1.638e+00, trn/lr 2.019e+00, trn/scale 1.010e-01, val/acc 3.087e-01, val/nll 1.930e+00
[2023-02-17 01:35:40] [Epoch    79/  200] trn/loss 1.642e+00, trn/lr 1.997e+00, trn/scale 1.010e-01, val/acc 1.489e-01, val/nll 4.258e+00
[2023-02-17 01:35:48] [Epoch    80/  200] trn/loss 1.640e+00, trn/lr 1.975e+00, trn/scale 1.010e-01, val/acc 2.775e-01, val/nll 2.448e+00
[2023-02-17 01:35:57] [Epoch    81/  200] trn/loss 1.648e+00, trn/lr 1.952e+00, trn/scale 1.010e-01, val/acc 1.780e-01, val/nll 2.591e+00
[2023-02-17 01:36:05] [Epoch    82/  200] trn/loss 1.634e+00, trn/lr 1.930e+00, trn/scale 1.010e-01, val/acc 1.798e-01, val/nll 3.140e+00
[2023-02-17 01:36:13] [Epoch    83/  200] trn/loss 1.665e+00, trn/lr 1.907e+00, trn/scale 1.010e-01, val/acc 1.885e-01, val/nll 2.404e+00
[2023-02-17 01:36:21] [Epoch    84/  200] trn/loss 1.675e+00, trn/lr 1.885e+00, trn/scale 1.010e-01, val/acc 1.192e-01, val/nll 2.474e+00
[2023-02-17 01:36:29] [Epoch    85/  200] trn/loss 1.635e+00, trn/lr 1.862e+00, trn/scale 1.010e-01, val/acc 2.252e-01, val/nll 2.612e+00
[2023-02-17 01:36:38] [Epoch    86/  200] trn/loss 1.619e+00, trn/lr 1.839e+00, trn/scale 1.010e-01, val/acc 1.532e-01, val/nll 4.287e+00
[2023-02-17 01:36:46] [Epoch    87/  200] trn/loss 1.632e+00, trn/lr 1.816e+00, trn/scale 1.010e-01, val/acc 1.294e-01, val/nll 1.086e+01
[2023-02-17 01:36:54] [Epoch    88/  200] trn/loss 1.643e+00, trn/lr 1.793e+00, trn/scale 1.010e-01, val/acc 1.562e-01, val/nll 4.597e+00
[2023-02-17 01:37:02] [Epoch    89/  200] trn/loss 1.638e+00, trn/lr 1.770e+00, trn/scale 1.010e-01, val/acc 1.729e-01, val/nll 4.380e+00
[2023-02-17 01:37:10] [Epoch    90/  200] trn/loss 1.645e+00, trn/lr 1.746e+00, trn/scale 1.010e-01, val/acc 2.385e-01, val/nll 3.117e+00
[2023-02-17 01:37:19] [Epoch    91/  200] trn/loss 1.598e+00, trn/lr 1.723e+00, trn/scale 1.010e-01, val/acc 2.033e-01, val/nll 3.684e+00
[2023-02-17 01:37:27] [Epoch    92/  200] trn/loss 1.623e+00, trn/lr 1.700e+00, trn/scale 1.010e-01, val/acc 1.538e-01, val/nll 4.032e+00
[2023-02-17 01:37:35] [Epoch    93/  200] trn/loss 1.600e+00, trn/lr 1.676e+00, trn/scale 1.010e-01, val/acc 2.311e-01, val/nll 2.496e+00
[2023-02-17 01:37:43] [Epoch    94/  200] trn/loss 1.591e+00, trn/lr 1.653e+00, trn/scale 1.010e-01, val/acc 2.386e-01, val/nll 2.407e+00
[2023-02-17 01:37:51] [Epoch    95/  200] trn/loss 1.611e+00, trn/lr 1.630e+00, trn/scale 1.010e-01, val/acc 2.575e-01, val/nll 1.881e+00
[2023-02-17 01:37:59] [Epoch    96/  200] trn/loss 1.587e+00, trn/lr 1.606e+00, trn/scale 1.010e-01, val/acc 2.488e-01, val/nll 2.174e+00
[2023-02-17 01:38:08] [Epoch    97/  200] trn/loss 1.594e+00, trn/lr 1.582e+00, trn/scale 1.010e-01, val/acc 2.285e-01, val/nll 2.464e+00
[2023-02-17 01:38:16] [Epoch    98/  200] trn/loss 1.579e+00, trn/lr 1.559e+00, trn/scale 1.010e-01, val/acc 2.249e-01, val/nll 3.919e+00
[2023-02-17 01:38:24] [Epoch    99/  200] trn/loss 1.582e+00, trn/lr 1.535e+00, trn/scale 1.010e-01, val/acc 3.402e-01, val/nll 1.916e+00
[2023-02-17 01:38:32] [Epoch   100/  200] trn/loss 1.566e+00, trn/lr 1.512e+00, trn/scale 1.010e-01, val/acc 3.675e-01, val/nll 1.732e+00
[2023-02-17 01:38:40] [Epoch   101/  200] trn/loss 1.558e+00, trn/lr 1.488e+00, trn/scale 1.010e-01, val/acc 2.570e-01, val/nll 3.983e+00
[2023-02-17 01:38:49] [Epoch   102/  200] trn/loss 1.583e+00, trn/lr 1.465e+00, trn/scale 1.010e-01, val/acc 2.535e-01, val/nll 3.067e+00
[2023-02-17 01:38:57] [Epoch   103/  200] trn/loss 1.558e+00, trn/lr 1.441e+00, trn/scale 1.010e-01, val/acc 2.079e-01, val/nll 3.083e+00
[2023-02-17 01:39:05] [Epoch   104/  200] trn/loss 1.576e+00, trn/lr 1.418e+00, trn/scale 1.010e-01, val/acc 1.260e-01, val/nll 2.516e+00
[2023-02-17 01:39:13] [Epoch   105/  200] trn/loss 1.568e+00, trn/lr 1.394e+00, trn/scale 1.010e-01, val/acc 1.812e-01, val/nll 2.498e+00
[2023-02-17 01:39:21] [Epoch   106/  200] trn/loss 1.526e+00, trn/lr 1.371e+00, trn/scale 1.010e-01, val/acc 1.084e-01, val/nll 6.971e+00
[2023-02-17 01:39:29] [Epoch   107/  200] trn/loss 1.532e+00, trn/lr 1.347e+00, trn/scale 1.010e-01, val/acc 2.049e-01, val/nll 3.041e+00
[2023-02-17 01:39:38] [Epoch   108/  200] trn/loss 1.559e+00, trn/lr 1.324e+00, trn/scale 1.010e-01, val/acc 1.627e-01, val/nll 3.633e+00
[2023-02-17 01:39:46] [Epoch   109/  200] trn/loss 1.505e+00, trn/lr 1.300e+00, trn/scale 1.010e-01, val/acc 1.597e-01, val/nll 1.084e+01
[2023-02-17 01:39:54] [Epoch   110/  200] trn/loss 1.498e+00, trn/lr 1.277e+00, trn/scale 1.010e-01, val/acc 2.085e-01, val/nll 3.100e+00
[2023-02-17 01:40:02] [Epoch   111/  200] trn/loss 1.528e+00, trn/lr 1.254e+00, trn/scale 1.010e-01, val/acc 1.729e-01, val/nll 3.495e+00
[2023-02-17 01:40:10] [Epoch   112/  200] trn/loss 1.517e+00, trn/lr 1.231e+00, trn/scale 1.010e-01, val/acc 2.366e-01, val/nll 4.183e+00
