[2023-02-04 11:50:01] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-04 11:50:01] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 45
- args.num_epochs_noisy  : 5
- args.prior_precision   : 5.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0045-0005_lr-0.0000010_mo-0.97_pr-01/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-04 11:54:37] [Cycle   2/ 30][Epoch   7/ 50] trn/posterior_energy -2.894e+03, trn/neg_log_likelihood  1.329e+04, trn/neg_log_prior -1.618e+04, trn/lr  9.588e-07, trn/temperature  0.000e+00, val/acc 7.709e-01, val/nll 7.260e-01
[2023-02-04 11:54:41] [Cycle   2/ 30][Epoch   8/ 50] trn/posterior_energy -2.528e+03, trn/neg_log_likelihood  1.335e+04, trn/neg_log_prior -1.587e+04, trn/lr  9.454e-07, trn/temperature  0.000e+00, val/acc 7.789e-01, val/nll 6.958e-01
[2023-02-04 11:54:45] [Cycle   2/ 30][Epoch   9/ 50] trn/posterior_energy -3.756e+03, trn/neg_log_likelihood  1.193e+04, trn/neg_log_prior -1.568e+04, trn/lr  9.303e-07, trn/temperature  0.000e+00, val/acc 7.811e-01, val/nll 6.787e-01
[2023-02-04 11:54:50] [Cycle   2/ 30][Epoch  10/ 50] trn/posterior_energy -4.203e+03, trn/neg_log_likelihood  1.135e+04, trn/neg_log_prior -1.555e+04, trn/lr  9.135e-07, trn/temperature  0.000e+00, val/acc 7.835e-01, val/nll 7.185e-01
[2023-02-04 11:54:54] [Cycle   2/ 30][Epoch  11/ 50] trn/posterior_energy -4.127e+03, trn/neg_log_likelihood  1.125e+04, trn/neg_log_prior -1.538e+04, trn/lr  8.950e-07, trn/temperature  0.000e+00, val/acc 7.723e-01, val/nll 7.405e-01
[2023-02-04 11:54:58] [Cycle   2/ 30][Epoch  12/ 50] trn/posterior_energy -4.660e+03, trn/neg_log_likelihood  1.059e+04, trn/neg_log_prior -1.525e+04, trn/lr  8.750e-07, trn/temperature  0.000e+00, val/acc 7.683e-01, val/nll 7.615e-01
[2023-02-04 11:55:02] [Cycle   2/ 30][Epoch  13/ 50] trn/posterior_energy -5.553e+03, trn/neg_log_likelihood  9.645e+03, trn/neg_log_prior -1.520e+04, trn/lr  8.535e-07, trn/temperature  0.000e+00, val/acc 7.856e-01, val/nll 7.074e-01
[2023-02-04 11:55:06] [Cycle   2/ 30][Epoch  14/ 50] trn/posterior_energy -6.394e+03, trn/neg_log_likelihood  8.843e+03, trn/neg_log_prior -1.524e+04, trn/lr  8.306e-07, trn/temperature  0.000e+00, val/acc 7.822e-01, val/nll 7.410e-01
[2023-02-04 11:55:11] [Cycle   2/ 30][Epoch  15/ 50] trn/posterior_energy -6.081e+03, trn/neg_log_likelihood  9.179e+03, trn/neg_log_prior -1.526e+04, trn/lr  8.064e-07, trn/temperature  0.000e+00, val/acc 7.794e-01, val/nll 7.211e-01
[2023-02-04 11:55:15] [Cycle   2/ 30][Epoch  16/ 50] trn/posterior_energy -7.023e+03, trn/neg_log_likelihood  8.165e+03, trn/neg_log_prior -1.519e+04, trn/lr  7.810e-07, trn/temperature  0.000e+00, val/acc 7.543e-01, val/nll 8.568e-01
[2023-02-04 11:55:19] [Cycle   2/ 30][Epoch  17/ 50] trn/posterior_energy -7.876e+03, trn/neg_log_likelihood  7.447e+03, trn/neg_log_prior -1.532e+04, trn/lr  7.545e-07, trn/temperature  0.000e+00, val/acc 7.785e-01, val/nll 7.889e-01
[2023-02-04 11:55:23] [Cycle   2/ 30][Epoch  18/ 50] trn/posterior_energy -8.940e+03, trn/neg_log_likelihood  6.600e+03, trn/neg_log_prior -1.554e+04, trn/lr  7.270e-07, trn/temperature  0.000e+00, val/acc 7.746e-01, val/nll 8.264e-01
[2023-02-04 11:55:27] [Cycle   2/ 30][Epoch  19/ 50] trn/posterior_energy -8.586e+03, trn/neg_log_likelihood  7.057e+03, trn/neg_log_prior -1.564e+04, trn/lr  6.986e-07, trn/temperature  0.000e+00, val/acc 7.750e-01, val/nll 8.480e-01
[2023-02-04 11:55:32] [Cycle   2/ 30][Epoch  20/ 50] trn/posterior_energy -9.350e+03, trn/neg_log_likelihood  6.422e+03, trn/neg_log_prior -1.577e+04, trn/lr  6.694e-07, trn/temperature  0.000e+00, val/acc 7.970e-01, val/nll 7.035e-01
[2023-02-04 11:55:36] [Cycle   2/ 30][Epoch  21/ 50] trn/posterior_energy -1.100e+04, trn/neg_log_likelihood  4.960e+03, trn/neg_log_prior -1.596e+04, trn/lr  6.395e-07, trn/temperature  0.000e+00, val/acc 7.935e-01, val/nll 7.992e-01
[2023-02-04 11:55:40] [Cycle   2/ 30][Epoch  22/ 50] trn/posterior_energy -1.205e+04, trn/neg_log_likelihood  4.266e+03, trn/neg_log_prior -1.631e+04, trn/lr  6.091e-07, trn/temperature  0.000e+00, val/acc 7.888e-01, val/nll 7.831e-01
[2023-02-04 11:55:44] [Cycle   2/ 30][Epoch  23/ 50] trn/posterior_energy -1.207e+04, trn/neg_log_likelihood  4.555e+03, trn/neg_log_prior -1.663e+04, trn/lr  5.782e-07, trn/temperature  0.000e+00, val/acc 7.890e-01, val/nll 8.378e-01
[2023-02-04 11:55:48] [Cycle   2/ 30][Epoch  24/ 50] trn/posterior_energy -1.415e+04, trn/neg_log_likelihood  2.878e+03, trn/neg_log_prior -1.702e+04, trn/lr  5.471e-07, trn/temperature  0.000e+00, val/acc 7.883e-01, val/nll 8.780e-01
[2023-02-04 11:55:53] [Cycle   2/ 30][Epoch  25/ 50] trn/posterior_energy -1.502e+04, trn/neg_log_likelihood  2.511e+03, trn/neg_log_prior -1.754e+04, trn/lr  5.157e-07, trn/temperature  0.000e+00, val/acc 8.033e-01, val/nll 7.925e-01
[2023-02-04 11:55:57] [Cycle   2/ 30][Epoch  26/ 50] trn/posterior_energy -1.573e+04, trn/neg_log_likelihood  2.256e+03, trn/neg_log_prior -1.798e+04, trn/lr  4.843e-07, trn/temperature  0.000e+00, val/acc 7.960e-01, val/nll 8.699e-01
[2023-02-04 11:56:01] [Cycle   2/ 30][Epoch  27/ 50] trn/posterior_energy -1.690e+04, trn/neg_log_likelihood  1.604e+03, trn/neg_log_prior -1.850e+04, trn/lr  4.530e-07, trn/temperature  0.000e+00, val/acc 8.023e-01, val/nll 8.258e-01
[2023-02-04 11:56:05] [Cycle   2/ 30][Epoch  28/ 50] trn/posterior_energy -1.717e+04, trn/neg_log_likelihood  1.778e+03, trn/neg_log_prior -1.895e+04, trn/lr  4.218e-07, trn/temperature  0.000e+00, val/acc 8.021e-01, val/nll 8.456e-01
