[2023-02-05 07:21:33] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-05 07:21:33] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 50
- args.num_epochs_noisy  : 0
- args.prior_precision   : 5.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0050-0000_lr-0.0000001_mo-0.99_pr-01/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 07:24:42] [Cycle   1/ 30][Epoch  38/ 50] trn/posterior_energy -2.332e+04, trn/neg_log_likelihood  7.162e+01, trn/neg_log_prior -2.339e+04, trn/lr  1.465e-08, trn/temperature  0.000e+00, val/acc 7.761e-01, val/nll 1.170e+00
[2023-02-05 07:24:46] [Cycle   1/ 30][Epoch  39/ 50] trn/posterior_energy -2.337e+04, trn/neg_log_likelihood  6.823e+01, trn/neg_log_prior -2.344e+04, trn/lr  1.250e-08, trn/temperature  0.000e+00, val/acc 7.761e-01, val/nll 1.171e+00
[2023-02-05 07:24:50] [Cycle   1/ 30][Epoch  40/ 50] trn/posterior_energy -2.342e+04, trn/neg_log_likelihood  6.598e+01, trn/neg_log_prior -2.349e+04, trn/lr  1.050e-08, trn/temperature  0.000e+00, val/acc 7.758e-01, val/nll 1.176e+00
[2023-02-05 07:24:54] [Cycle   1/ 30][Epoch  41/ 50] trn/posterior_energy -2.346e+04, trn/neg_log_likelihood  6.424e+01, trn/neg_log_prior -2.352e+04, trn/lr  8.654e-09, trn/temperature  0.000e+00, val/acc 7.753e-01, val/nll 1.178e+00
[2023-02-05 07:24:58] [Cycle   1/ 30][Epoch  42/ 50] trn/posterior_energy -2.349e+04, trn/neg_log_likelihood  6.299e+01, trn/neg_log_prior -2.355e+04, trn/lr  6.972e-09, trn/temperature  0.000e+00, val/acc 7.757e-01, val/nll 1.179e+00
[2023-02-05 07:25:03] [Cycle   1/ 30][Epoch  43/ 50] trn/posterior_energy -2.352e+04, trn/neg_log_likelihood  6.192e+01, trn/neg_log_prior -2.358e+04, trn/lr  5.458e-09, trn/temperature  0.000e+00, val/acc 7.761e-01, val/nll 1.179e+00
[2023-02-05 07:25:07] [Cycle   1/ 30][Epoch  44/ 50] trn/posterior_energy -2.354e+04, trn/neg_log_likelihood  6.112e+01, trn/neg_log_prior -2.360e+04, trn/lr  4.121e-09, trn/temperature  0.000e+00, val/acc 7.760e-01, val/nll 1.181e+00
[2023-02-05 07:25:11] [Cycle   1/ 30][Epoch  45/ 50] trn/posterior_energy -2.355e+04, trn/neg_log_likelihood  6.060e+01, trn/neg_log_prior -2.361e+04, trn/lr  2.965e-09, trn/temperature  0.000e+00, val/acc 7.758e-01, val/nll 1.182e+00
[2023-02-05 07:25:15] [Cycle   1/ 30][Epoch  46/ 50] trn/posterior_energy -2.356e+04, trn/neg_log_likelihood  6.017e+01, trn/neg_log_prior -2.362e+04, trn/lr  1.994e-09, trn/temperature  0.000e+00, val/acc 7.761e-01, val/nll 1.182e+00
[2023-02-05 07:25:19] [Cycle   1/ 30][Epoch  47/ 50] trn/posterior_energy -2.357e+04, trn/neg_log_likelihood  5.991e+01, trn/neg_log_prior -2.363e+04, trn/lr  1.213e-09, trn/temperature  0.000e+00, val/acc 7.760e-01, val/nll 1.182e+00
