[2023-02-06 08:31:46] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-06 08:31:46] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.99
- args.prior_precision   : 40.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000030_mo-0.99_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 08:31:52] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-06 08:44:44] [Epoch    61/  500] trn/posterior_energy  4.108e+06, trn/neg_log_likelihood  9.520e+04, trn/neg_log_prior  4.013e+06, trn/lr  2.893e-06, val/acc 9.978e-02, val/nll 2.335e+00
[2023-02-06 08:44:56] [Epoch    62/  500] trn/posterior_energy  4.084e+06, trn/neg_log_likelihood  9.551e+04, trn/neg_log_prior  3.988e+06, trn/lr  2.889e-06, val/acc 9.978e-02, val/nll 2.333e+00
[2023-02-06 08:45:08] [Epoch    63/  500] trn/posterior_energy  4.109e+06, trn/neg_log_likelihood  9.541e+04, trn/neg_log_prior  4.013e+06, trn/lr  2.886e-06, val/acc 9.823e-02, val/nll 2.328e+00
[2023-02-06 08:45:21] [Epoch    64/  500] trn/posterior_energy  4.098e+06, trn/neg_log_likelihood  9.537e+04, trn/neg_log_prior  4.003e+06, trn/lr  2.882e-06, val/acc 9.945e-02, val/nll 2.316e+00
[2023-02-06 08:45:33] [Epoch    65/  500] trn/posterior_energy  4.109e+06, trn/neg_log_likelihood  9.522e+04, trn/neg_log_prior  4.014e+06, trn/lr  2.878e-06, val/acc 9.856e-02, val/nll 2.355e+00
[2023-02-06 08:45:45] [Epoch    66/  500] trn/posterior_energy  4.100e+06, trn/neg_log_likelihood  9.552e+04, trn/neg_log_prior  4.004e+06, trn/lr  2.875e-06, val/acc 1.081e-01, val/nll 2.322e+00
[2023-02-06 08:45:57] [Epoch    67/  500] trn/posterior_energy  4.099e+06, trn/neg_log_likelihood  9.561e+04, trn/neg_log_prior  4.003e+06, trn/lr  2.871e-06, val/acc 9.856e-02, val/nll 2.345e+00
[2023-02-06 08:46:09] [Epoch    68/  500] trn/posterior_energy  4.090e+06, trn/neg_log_likelihood  9.534e+04, trn/neg_log_prior  3.994e+06, trn/lr  2.867e-06, val/acc 9.978e-02, val/nll 2.316e+00
[2023-02-06 08:46:21] [Epoch    69/  500] trn/posterior_energy  4.111e+06, trn/neg_log_likelihood  9.538e+04, trn/neg_log_prior  4.016e+06, trn/lr  2.863e-06, val/acc 1.007e-01, val/nll 2.325e+00
[2023-02-06 08:46:33] [Epoch    70/  500] trn/posterior_energy  4.086e+06, trn/neg_log_likelihood  9.529e+04, trn/neg_log_prior  3.990e+06, trn/lr  2.859e-06, val/acc 1.007e-01, val/nll 2.321e+00
[2023-02-06 08:46:45] [Epoch    71/  500] trn/posterior_energy  4.122e+06, trn/neg_log_likelihood  9.528e+04, trn/neg_log_prior  4.027e+06, trn/lr  2.855e-06, val/acc 9.856e-02, val/nll 2.323e+00
[2023-02-06 08:46:57] [Epoch    72/  500] trn/posterior_energy  4.104e+06, trn/neg_log_likelihood  9.543e+04, trn/neg_log_prior  4.008e+06, trn/lr  2.851e-06, val/acc 9.856e-02, val/nll 2.362e+00
[2023-02-06 08:47:09] [Epoch    73/  500] trn/posterior_energy  4.101e+06, trn/neg_log_likelihood  9.551e+04, trn/neg_log_prior  4.006e+06, trn/lr  2.847e-06, val/acc 9.978e-02, val/nll 2.315e+00
[2023-02-06 08:47:21] [Epoch    74/  500] trn/posterior_energy  4.131e+06, trn/neg_log_likelihood  9.531e+04, trn/neg_log_prior  4.036e+06, trn/lr  2.843e-06, val/acc 9.945e-02, val/nll 2.332e+00
[2023-02-06 08:47:33] [Epoch    75/  500] trn/posterior_energy  4.115e+06, trn/neg_log_likelihood  9.527e+04, trn/neg_log_prior  4.019e+06, trn/lr  2.839e-06, val/acc 9.823e-02, val/nll 2.333e+00
[2023-02-06 08:47:45] [Epoch    76/  500] trn/posterior_energy  4.103e+06, trn/neg_log_likelihood  9.551e+04, trn/neg_log_prior  4.007e+06, trn/lr  2.834e-06, val/acc 9.856e-02, val/nll 2.318e+00
[2023-02-06 08:47:57] [Epoch    77/  500] trn/posterior_energy  4.101e+06, trn/neg_log_likelihood  9.540e+04, trn/neg_log_prior  4.005e+06, trn/lr  2.830e-06, val/acc 9.823e-02, val/nll 2.332e+00
[2023-02-06 08:48:09] [Epoch    78/  500] trn/posterior_energy  4.093e+06, trn/neg_log_likelihood  9.540e+04, trn/neg_log_prior  3.998e+06, trn/lr  2.826e-06, val/acc 9.281e-02, val/nll 2.355e+00
[2023-02-06 08:48:22] [Epoch    79/  500] trn/posterior_energy  4.085e+06, trn/neg_log_likelihood  9.563e+04, trn/neg_log_prior  3.989e+06, trn/lr  2.821e-06, val/acc 9.978e-02, val/nll 2.338e+00
[2023-02-06 08:48:34] [Epoch    80/  500] trn/posterior_energy  4.117e+06, trn/neg_log_likelihood  9.542e+04, trn/neg_log_prior  4.022e+06, trn/lr  2.817e-06, val/acc 9.823e-02, val/nll 2.322e+00
[2023-02-06 08:48:46] [Epoch    81/  500] trn/posterior_energy  4.087e+06, trn/neg_log_likelihood  9.531e+04, trn/neg_log_prior  3.992e+06, trn/lr  2.812e-06, val/acc 1.044e-01, val/nll 2.336e+00
[2023-02-06 08:48:58] [Epoch    82/  500] trn/posterior_energy  4.114e+06, trn/neg_log_likelihood  9.535e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.808e-06, val/acc 9.978e-02, val/nll 2.334e+00
[2023-02-06 08:49:10] [Epoch    83/  500] trn/posterior_energy  4.091e+06, trn/neg_log_likelihood  9.532e+04, trn/neg_log_prior  3.996e+06, trn/lr  2.803e-06, val/acc 9.823e-02, val/nll 2.333e+00
[2023-02-06 08:49:22] [Epoch    84/  500] trn/posterior_energy  4.086e+06, trn/neg_log_likelihood  9.546e+04, trn/neg_log_prior  3.990e+06, trn/lr  2.798e-06, val/acc 9.978e-02, val/nll 2.335e+00
[2023-02-06 08:49:34] [Epoch    85/  500] trn/posterior_energy  4.092e+06, trn/neg_log_likelihood  9.528e+04, trn/neg_log_prior  3.996e+06, trn/lr  2.794e-06, val/acc 9.856e-02, val/nll 2.326e+00
[2023-02-06 08:49:46] [Epoch    86/  500] trn/posterior_energy  4.086e+06, trn/neg_log_likelihood  9.526e+04, trn/neg_log_prior  3.991e+06, trn/lr  2.789e-06, val/acc 9.281e-02, val/nll 2.316e+00
