[2023-02-16 18:43:44] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 18:43:44] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 1.0
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.003
- args.rho                : 0.1
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-1.00_b1-0.900_b2-0.999_wd-0.0030_eps-1e-1_rho-0.1000_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 18:43:59] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 18:52:19] [Epoch    53/  200] trn/loss 2.111e+00, trn/lr 8.394e-01, trn/scale 1.032e-01, val/acc 1.000e-01, val/nll 2.407e+00
[2023-02-16 18:52:27] [Epoch    54/  200] trn/loss 2.086e+00, trn/lr 8.336e-01, trn/scale 1.032e-01, val/acc 9.978e-02, val/nll 2.457e+00
[2023-02-16 18:52:36] [Epoch    55/  200] trn/loss 2.165e+00, trn/lr 8.277e-01, trn/scale 1.032e-01, val/acc 1.006e-01, val/nll 2.488e+00
[2023-02-16 18:52:44] [Epoch    56/  200] trn/loss 2.073e+00, trn/lr 8.217e-01, trn/scale 1.031e-01, val/acc 1.810e-01, val/nll 2.064e+00
[2023-02-16 18:52:52] [Epoch    57/  200] trn/loss 2.051e+00, trn/lr 8.157e-01, trn/scale 1.031e-01, val/acc 1.346e-01, val/nll 2.183e+00
[2023-02-16 18:53:00] [Epoch    58/  200] trn/loss 2.045e+00, trn/lr 8.096e-01, trn/scale 1.031e-01, val/acc 1.069e-01, val/nll 3.814e+00
[2023-02-16 18:53:08] [Epoch    59/  200] trn/loss 2.041e+00, trn/lr 8.034e-01, trn/scale 1.031e-01, val/acc 1.460e-01, val/nll 2.257e+00
[2023-02-16 18:53:16] [Epoch    60/  200] trn/loss 2.034e+00, trn/lr 7.971e-01, trn/scale 1.031e-01, val/acc 1.742e-01, val/nll 2.064e+00
[2023-02-16 18:53:25] [Epoch    61/  200] trn/loss 2.202e+00, trn/lr 7.907e-01, trn/scale 1.031e-01, val/acc 9.281e-02, val/nll 1.007e+01
[2023-02-16 18:53:33] [Epoch    62/  200] trn/loss 2.161e+00, trn/lr 7.843e-01, trn/scale 1.031e-01, val/acc 1.997e-01, val/nll 2.118e+00
[2023-02-16 18:53:41] [Epoch    63/  200] trn/loss 2.109e+00, trn/lr 7.778e-01, trn/scale 1.031e-01, val/acc 2.081e-01, val/nll 2.019e+00
[2023-02-16 18:53:49] [Epoch    64/  200] trn/loss 2.073e+00, trn/lr 7.712e-01, trn/scale 1.030e-01, val/acc 1.771e-01, val/nll 2.093e+00
[2023-02-16 18:53:57] [Epoch    65/  200] trn/loss 2.044e+00, trn/lr 7.646e-01, trn/scale 1.030e-01, val/acc 1.254e-01, val/nll 2.254e+00
[2023-02-16 18:54:05] [Epoch    66/  200] trn/loss 2.137e+00, trn/lr 7.579e-01, trn/scale 1.030e-01, val/acc 1.071e-01, val/nll 2.450e+00
[2023-02-16 18:54:13] [Epoch    67/  200] trn/loss 2.090e+00, trn/lr 7.512e-01, trn/scale 1.030e-01, val/acc 1.174e-01, val/nll 2.366e+00
[2023-02-16 18:54:22] [Epoch    68/  200] trn/loss 2.063e+00, trn/lr 7.443e-01, trn/scale 1.030e-01, val/acc 1.408e-01, val/nll 2.245e+00
[2023-02-16 18:54:30] [Epoch    69/  200] trn/loss 2.069e+00, trn/lr 7.374e-01, trn/scale 1.030e-01, val/acc 1.217e-01, val/nll 2.357e+00
[2023-02-16 18:54:38] [Epoch    70/  200] trn/loss 2.042e+00, trn/lr 7.305e-01, trn/scale 1.030e-01, val/acc 9.978e-02, val/nll 2.556e+00
[2023-02-16 18:54:46] [Epoch    71/  200] trn/loss 2.056e+00, trn/lr 7.235e-01, trn/scale 1.030e-01, val/acc 1.697e-01, val/nll 2.095e+00
[2023-02-16 18:54:54] [Epoch    72/  200] trn/loss 2.023e+00, trn/lr 7.165e-01, trn/scale 1.030e-01, val/acc 9.978e-02, val/nll 3.325e+00
[2023-02-16 18:55:02] [Epoch    73/  200] trn/loss 2.042e+00, trn/lr 7.093e-01, trn/scale 1.030e-01, val/acc 1.032e-01, val/nll 2.433e+00
[2023-02-16 18:55:10] [Epoch    74/  200] trn/loss 2.052e+00, trn/lr 7.022e-01, trn/scale 1.030e-01, val/acc 1.688e-01, val/nll 2.765e+00
[2023-02-16 18:55:19] [Epoch    75/  200] trn/loss 2.088e+00, trn/lr 6.950e-01, trn/scale 1.030e-01, val/acc 1.044e-01, val/nll 4.538e+00
[2023-02-16 18:55:27] [Epoch    76/  200] trn/loss 2.064e+00, trn/lr 6.877e-01, trn/scale 1.030e-01, val/acc 1.020e-01, val/nll 2.475e+00
[2023-02-16 18:55:35] [Epoch    77/  200] trn/loss 2.035e+00, trn/lr 6.804e-01, trn/scale 1.030e-01, val/acc 1.076e-01, val/nll 2.388e+00
[2023-02-16 18:55:43] [Epoch    78/  200] trn/loss 2.037e+00, trn/lr 6.731e-01, trn/scale 1.030e-01, val/acc 1.475e-01, val/nll 2.933e+00
[2023-02-16 18:55:51] [Epoch    79/  200] trn/loss 2.083e+00, trn/lr 6.657e-01, trn/scale 1.030e-01, val/acc 9.281e-02, val/nll 2.313e+00
[2023-02-16 18:55:59] [Epoch    80/  200] trn/loss 2.162e+00, trn/lr 6.583e-01, trn/scale 1.030e-01, val/acc 1.097e-01, val/nll 2.409e+00
[2023-02-16 18:56:08] [Epoch    81/  200] trn/loss 2.129e+00, trn/lr 6.508e-01, trn/scale 1.030e-01, val/acc 1.771e-01, val/nll 2.077e+00
[2023-02-16 18:56:16] [Epoch    82/  200] trn/loss 2.134e+00, trn/lr 6.433e-01, trn/scale 1.030e-01, val/acc 1.399e-01, val/nll 2.221e+00
[2023-02-16 18:56:24] [Epoch    83/  200] trn/loss 2.081e+00, trn/lr 6.357e-01, trn/scale 1.030e-01, val/acc 1.001e-01, val/nll 2.581e+00
[2023-02-16 18:56:32] [Epoch    84/  200] trn/loss 2.020e+00, trn/lr 6.282e-01, trn/scale 1.030e-01, val/acc 1.256e-01, val/nll 2.345e+00
[2023-02-16 18:56:40] [Epoch    85/  200] trn/loss 2.019e+00, trn/lr 6.206e-01, trn/scale 1.030e-01, val/acc 1.191e-01, val/nll 2.509e+00
[2023-02-16 18:56:48] [Epoch    86/  200] trn/loss 2.027e+00, trn/lr 6.129e-01, trn/scale 1.030e-01, val/acc 1.100e-01, val/nll 2.476e+00
[2023-02-16 18:56:57] [Epoch    87/  200] trn/loss 2.009e+00, trn/lr 6.053e-01, trn/scale 1.030e-01, val/acc 1.736e-01, val/nll 2.087e+00
[2023-02-16 18:57:05] [Epoch    88/  200] trn/loss 1.983e+00, trn/lr 5.976e-01, trn/scale 1.030e-01, val/acc 1.264e-01, val/nll 5.321e+00
[2023-02-16 18:57:13] [Epoch    89/  200] trn/loss 1.980e+00, trn/lr 5.899e-01, trn/scale 1.030e-01, val/acc 9.989e-02, val/nll 2.566e+00
[2023-02-16 18:57:21] [Epoch    90/  200] trn/loss 1.986e+00, trn/lr 5.821e-01, trn/scale 1.030e-01, val/acc 1.196e-01, val/nll 2.885e+00
[2023-02-16 18:57:29] [Epoch    91/  200] trn/loss 1.990e+00, trn/lr 5.744e-01, trn/scale 1.030e-01, val/acc 1.476e-01, val/nll 2.292e+00
[2023-02-16 18:57:37] [Epoch    92/  200] trn/loss 1.997e+00, trn/lr 5.666e-01, trn/scale 1.030e-01, val/acc 1.021e-01, val/nll 2.460e+00
[2023-02-16 18:57:46] [Epoch    93/  200] trn/loss 1.987e+00, trn/lr 5.588e-01, trn/scale 1.030e-01, val/acc 1.924e-01, val/nll 2.087e+00
[2023-02-16 18:57:54] [Epoch    94/  200] trn/loss 1.967e+00, trn/lr 5.510e-01, trn/scale 1.030e-01, val/acc 1.132e-01, val/nll 2.480e+00
[2023-02-16 18:58:02] [Epoch    95/  200] trn/loss 1.965e+00, trn/lr 5.432e-01, trn/scale 1.030e-01, val/acc 1.895e-01, val/nll 2.118e+00
[2023-02-16 18:58:10] [Epoch    96/  200] trn/loss 1.932e+00, trn/lr 5.353e-01, trn/scale 1.030e-01, val/acc 2.262e-01, val/nll 1.965e+00
[2023-02-16 18:58:18] [Epoch    97/  200] trn/loss 1.925e+00, trn/lr 5.275e-01, trn/scale 1.030e-01, val/acc 2.103e-01, val/nll 2.024e+00
[2023-02-16 18:58:26] [Epoch    98/  200] trn/loss 1.941e+00, trn/lr 5.197e-01, trn/scale 1.030e-01, val/acc 9.934e-02, val/nll 5.155e+00
[2023-02-16 18:58:35] [Epoch    99/  200] trn/loss 1.930e+00, trn/lr 5.118e-01, trn/scale 1.030e-01, val/acc 2.414e-01, val/nll 1.955e+00
[2023-02-16 18:58:43] [Epoch   100/  200] trn/loss 1.951e+00, trn/lr 5.040e-01, trn/scale 1.030e-01, val/acc 2.110e-01, val/nll 2.026e+00
[2023-02-16 18:58:51] [Epoch   101/  200] trn/loss 2.022e+00, trn/lr 4.961e-01, trn/scale 1.030e-01, val/acc 1.819e-01, val/nll 2.171e+00
[2023-02-16 18:58:59] [Epoch   102/  200] trn/loss 2.011e+00, trn/lr 4.882e-01, trn/scale 1.030e-01, val/acc 1.538e-01, val/nll 2.204e+00
[2023-02-16 18:59:07] [Epoch   103/  200] trn/loss 1.994e+00, trn/lr 4.804e-01, trn/scale 1.030e-01, val/acc 1.489e-01, val/nll 2.288e+00
