[2023-02-05 10:16:50] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 10:16:50] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.9
- args.prior_precision   : 20.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000001_mo-0.90_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 10:17:04] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 10:26:22] [Epoch    41/  500] trn/posterior_energy  2.543e+06, trn/neg_log_likelihood  2.072e+03, trn/neg_log_prior  2.541e+06, trn/lr  9.839e-08, val/acc 7.602e-01, val/nll 1.058e+00 (best_acc: 7.508e-01 -> 7.602e-01, test_acc: 7.508e-01, test_nll: 1.102e+00)
[2023-02-05 10:26:34] [Epoch    42/  500] trn/posterior_energy  2.541e+06, trn/neg_log_likelihood  8.851e+02, trn/neg_log_prior  2.540e+06, trn/lr  9.831e-08, val/acc 7.561e-01, val/nll 1.086e+00
[2023-02-05 10:26:46] [Epoch    43/  500] trn/posterior_energy  2.542e+06, trn/neg_log_likelihood  2.089e+03, trn/neg_log_prior  2.540e+06, trn/lr  9.823e-08, val/acc 7.558e-01, val/nll 1.077e+00
[2023-02-05 10:26:58] [Epoch    44/  500] trn/posterior_energy  2.541e+06, trn/neg_log_likelihood  2.592e+03, trn/neg_log_prior  2.539e+06, trn/lr  9.814e-08, val/acc 7.521e-01, val/nll 1.055e+00
[2023-02-05 10:27:11] [Epoch    45/  500] trn/posterior_energy  2.541e+06, trn/neg_log_likelihood  2.500e+03, trn/neg_log_prior  2.538e+06, trn/lr  9.806e-08, val/acc 7.377e-01, val/nll 1.111e+00
[2023-02-05 10:27:23] [Epoch    46/  500] trn/posterior_energy  2.540e+06, trn/neg_log_likelihood  2.158e+03, trn/neg_log_prior  2.537e+06, trn/lr  9.797e-08, val/acc 7.445e-01, val/nll 1.089e+00
[2023-02-05 10:27:35] [Epoch    47/  500] trn/posterior_energy  2.539e+06, trn/neg_log_likelihood  2.598e+03, trn/neg_log_prior  2.537e+06, trn/lr  9.788e-08, val/acc 7.510e-01, val/nll 1.022e+00
[2023-02-05 10:27:50] [Epoch    48/  500] trn/posterior_energy  2.538e+06, trn/neg_log_likelihood  2.284e+03, trn/neg_log_prior  2.536e+06, trn/lr  9.779e-08, val/acc 7.622e-01, val/nll 1.037e+00 (best_acc: 7.602e-01 -> 7.622e-01, test_acc: 7.644e-01, test_nll: 1.024e+00)
[2023-02-05 10:28:04] [Epoch    49/  500] trn/posterior_energy  2.537e+06, trn/neg_log_likelihood  1.322e+03, trn/neg_log_prior  2.535e+06, trn/lr  9.770e-08, val/acc 7.649e-01, val/nll 1.061e+00 (best_acc: 7.622e-01 -> 7.649e-01, test_acc: 7.615e-01, test_nll: 1.040e+00)
[2023-02-05 10:28:16] [Epoch    50/  500] trn/posterior_energy  2.536e+06, trn/neg_log_likelihood  1.628e+03, trn/neg_log_prior  2.535e+06, trn/lr  9.760e-08, val/acc 7.514e-01, val/nll 1.124e+00
