[2023-02-08 01:08:37] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-08 01:08:37] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.9
- args.num_cycles        : 30
- args.num_epochs_quiet  : 180
- args.num_epochs_noisy  : 20
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0180-0020_lr-0.0000010_mo-0.90_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-08 01:12:09] [Cycle   1/ 30][Epoch  41/200] trn/posterior_energy -1.176e+05, trn/neg_log_likelihood  1.283e+03, trn/neg_log_prior -1.189e+05, trn/lr  9.022e-07, trn/temperature  0.000e+00, val/acc 7.850e-01, val/nll 1.061e+00
[2023-02-08 01:12:13] [Cycle   1/ 30][Epoch  42/200] trn/posterior_energy -1.178e+05, trn/neg_log_likelihood  1.165e+03, trn/neg_log_prior -1.189e+05, trn/lr  8.975e-07, trn/temperature  0.000e+00, val/acc 7.890e-01, val/nll 1.004e+00
[2023-02-08 01:12:17] [Cycle   1/ 30][Epoch  43/200] trn/posterior_energy -1.178e+05, trn/neg_log_likelihood  1.162e+03, trn/neg_log_prior -1.190e+05, trn/lr  8.927e-07, trn/temperature  0.000e+00, val/acc 7.845e-01, val/nll 1.016e+00
[2023-02-08 01:12:21] [Cycle   1/ 30][Epoch  44/200] trn/posterior_energy -1.169e+05, trn/neg_log_likelihood  2.145e+03, trn/neg_log_prior -1.190e+05, trn/lr  8.877e-07, trn/temperature  0.000e+00, val/acc 7.845e-01, val/nll 1.042e+00
[2023-02-08 01:12:25] [Cycle   1/ 30][Epoch  45/200] trn/posterior_energy -1.167e+05, trn/neg_log_likelihood  2.296e+03, trn/neg_log_prior -1.190e+05, trn/lr  8.827e-07, trn/temperature  0.000e+00, val/acc 7.858e-01, val/nll 9.881e-01
[2023-02-08 01:12:29] [Cycle   1/ 30][Epoch  46/200] trn/posterior_energy -1.171e+05, trn/neg_log_likelihood  1.867e+03, trn/neg_log_prior -1.190e+05, trn/lr  8.776e-07, trn/temperature  0.000e+00, val/acc 7.814e-01, val/nll 1.049e+00
[2023-02-08 01:12:33] [Cycle   1/ 30][Epoch  47/200] trn/posterior_energy -1.182e+05, trn/neg_log_likelihood  8.142e+02, trn/neg_log_prior -1.191e+05, trn/lr  8.724e-07, trn/temperature  0.000e+00, val/acc 7.747e-01, val/nll 1.170e+00
[2023-02-08 01:12:38] [Cycle   1/ 30][Epoch  48/200] trn/posterior_energy -1.187e+05, trn/neg_log_likelihood  4.126e+02, trn/neg_log_prior -1.192e+05, trn/lr  8.672e-07, trn/temperature  0.000e+00, val/acc 7.884e-01, val/nll 1.138e+00
[2023-02-08 01:12:42] [Cycle   1/ 30][Epoch  49/200] trn/posterior_energy -1.192e+05, trn/neg_log_likelihood  5.777e+01, trn/neg_log_prior -1.193e+05, trn/lr  8.618e-07, trn/temperature  0.000e+00, val/acc 8.023e-01, val/nll 1.033e+00
[2023-02-08 01:12:46] [Cycle   1/ 30][Epoch  50/200] trn/posterior_energy -1.194e+05, trn/neg_log_likelihood  1.937e+01, trn/neg_log_prior -1.194e+05, trn/lr  8.563e-07, trn/temperature  0.000e+00, val/acc 8.020e-01, val/nll 1.032e+00
