[2023-02-13 09:50:55] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-13 09:50:55] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.7
- args.num_cycles        : 30
- args.num_epochs_quiet  : 200
- args.num_epochs_noisy  : 0
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0200-0000_lr-0.0000030_mo-0.70_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-13 09:54:31] [Cycle   1/ 30][Epoch  51/200] trn/posterior_energy -1.202e+05, trn/neg_log_likelihood  1.854e+01, trn/neg_log_prior -1.202e+05, trn/lr  2.552e-06, trn/temperature  0.000e+00, val/acc 8.035e-01, val/nll 9.734e-01
[2023-02-13 09:54:35] [Cycle   1/ 30][Epoch  52/200] trn/posterior_energy -1.203e+05, trn/neg_log_likelihood  1.888e+01, trn/neg_log_prior -1.203e+05, trn/lr  2.535e-06, trn/temperature  0.000e+00, val/acc 8.048e-01, val/nll 9.688e-01
[2023-02-13 09:54:38] [Cycle   1/ 30][Epoch  53/200] trn/posterior_energy -1.204e+05, trn/neg_log_likelihood  1.928e+01, trn/neg_log_prior -1.205e+05, trn/lr  2.518e-06, trn/temperature  0.000e+00, val/acc 8.040e-01, val/nll 9.620e-01
[2023-02-13 09:54:42] [Cycle   1/ 30][Epoch  54/200] trn/posterior_energy -1.206e+05, trn/neg_log_likelihood  1.974e+01, trn/neg_log_prior -1.206e+05, trn/lr  2.501e-06, trn/temperature  0.000e+00, val/acc 8.033e-01, val/nll 9.572e-01
[2023-02-13 09:54:46] [Cycle   1/ 30][Epoch  55/200] trn/posterior_energy -1.207e+05, trn/neg_log_likelihood  2.019e+01, trn/neg_log_prior -1.207e+05, trn/lr  2.483e-06, trn/temperature  0.000e+00, val/acc 8.046e-01, val/nll 9.541e-01
[2023-02-13 09:54:49] [Cycle   1/ 30][Epoch  56/200] trn/posterior_energy -1.208e+05, trn/neg_log_likelihood  2.061e+01, trn/neg_log_prior -1.208e+05, trn/lr  2.465e-06, trn/temperature  0.000e+00, val/acc 8.037e-01, val/nll 9.499e-01
[2023-02-13 09:54:53] [Cycle   1/ 30][Epoch  57/200] trn/posterior_energy -1.209e+05, trn/neg_log_likelihood  2.107e+01, trn/neg_log_prior -1.209e+05, trn/lr  2.447e-06, trn/temperature  0.000e+00, val/acc 8.040e-01, val/nll 9.452e-01
[2023-02-13 09:54:57] [Cycle   1/ 30][Epoch  58/200] trn/posterior_energy -1.210e+05, trn/neg_log_likelihood  2.154e+01, trn/neg_log_prior -1.210e+05, trn/lr  2.429e-06, trn/temperature  0.000e+00, val/acc 8.043e-01, val/nll 9.409e-01
[2023-02-13 09:55:00] [Cycle   1/ 30][Epoch  59/200] trn/posterior_energy -1.211e+05, trn/neg_log_likelihood  2.196e+01, trn/neg_log_prior -1.211e+05, trn/lr  2.410e-06, trn/temperature  0.000e+00, val/acc 8.043e-01, val/nll 9.379e-01
[2023-02-13 09:55:04] [Cycle   1/ 30][Epoch  60/200] trn/posterior_energy -1.212e+05, trn/neg_log_likelihood  2.235e+01, trn/neg_log_prior -1.212e+05, trn/lr  2.391e-06, trn/temperature  0.000e+00, val/acc 8.037e-01, val/nll 9.356e-01
[2023-02-13 09:55:08] [Cycle   1/ 30][Epoch  61/200] trn/posterior_energy -1.213e+05, trn/neg_log_likelihood  2.274e+01, trn/neg_log_prior -1.213e+05, trn/lr  2.372e-06, trn/temperature  0.000e+00, val/acc 8.046e-01, val/nll 9.321e-01
[2023-02-13 09:55:12] [Cycle   1/ 30][Epoch  62/200] trn/posterior_energy -1.214e+05, trn/neg_log_likelihood  2.313e+01, trn/neg_log_prior -1.214e+05, trn/lr  2.353e-06, trn/temperature  0.000e+00, val/acc 8.044e-01, val/nll 9.289e-01
[2023-02-13 09:55:16] [Cycle   1/ 30][Epoch  63/200] trn/posterior_energy -1.215e+05, trn/neg_log_likelihood  2.351e+01, trn/neg_log_prior -1.215e+05, trn/lr  2.333e-06, trn/temperature  0.000e+00, val/acc 8.049e-01, val/nll 9.255e-01
[2023-02-13 09:55:19] [Cycle   1/ 30][Epoch  64/200] trn/posterior_energy -1.216e+05, trn/neg_log_likelihood  2.380e+01, trn/neg_log_prior -1.216e+05, trn/lr  2.314e-06, trn/temperature  0.000e+00, val/acc 8.053e-01, val/nll 9.236e-01
[2023-02-13 09:55:23] [Cycle   1/ 30][Epoch  65/200] trn/posterior_energy -1.217e+05, trn/neg_log_likelihood  2.409e+01, trn/neg_log_prior -1.217e+05, trn/lr  2.294e-06, trn/temperature  0.000e+00, val/acc 8.044e-01, val/nll 9.225e-01
[2023-02-13 09:55:27] [Cycle   1/ 30][Epoch  66/200] trn/posterior_energy -1.218e+05, trn/neg_log_likelihood  2.444e+01, trn/neg_log_prior -1.218e+05, trn/lr  2.274e-06, trn/temperature  0.000e+00, val/acc 8.048e-01, val/nll 9.183e-01
[2023-02-13 09:55:30] [Cycle   1/ 30][Epoch  67/200] trn/posterior_energy -1.218e+05, trn/neg_log_likelihood  2.471e+01, trn/neg_log_prior -1.219e+05, trn/lr  2.253e-06, trn/temperature  0.000e+00, val/acc 8.041e-01, val/nll 9.195e-01
[2023-02-13 09:55:34] [Cycle   1/ 30][Epoch  68/200] trn/posterior_energy -1.219e+05, trn/neg_log_likelihood  2.492e+01, trn/neg_log_prior -1.219e+05, trn/lr  2.233e-06, trn/temperature  0.000e+00, val/acc 8.033e-01, val/nll 9.172e-01
[2023-02-13 09:55:38] [Cycle   1/ 30][Epoch  69/200] trn/posterior_energy -1.220e+05, trn/neg_log_likelihood  2.518e+01, trn/neg_log_prior -1.220e+05, trn/lr  2.212e-06, trn/temperature  0.000e+00, val/acc 8.029e-01, val/nll 9.147e-01
[2023-02-13 09:55:41] [Cycle   1/ 30][Epoch  70/200] trn/posterior_energy -1.221e+05, trn/neg_log_likelihood  2.541e+01, trn/neg_log_prior -1.221e+05, trn/lr  2.191e-06, trn/temperature  0.000e+00, val/acc 8.038e-01, val/nll 9.132e-01
[2023-02-13 09:55:45] [Cycle   1/ 30][Epoch  71/200] trn/posterior_energy -1.221e+05, trn/neg_log_likelihood  2.557e+01, trn/neg_log_prior -1.222e+05, trn/lr  2.170e-06, trn/temperature  0.000e+00, val/acc 8.029e-01, val/nll 9.147e-01
[2023-02-13 09:55:49] [Cycle   1/ 30][Epoch  72/200] trn/posterior_energy -1.222e+05, trn/neg_log_likelihood  2.572e+01, trn/neg_log_prior -1.222e+05, trn/lr  2.149e-06, trn/temperature  0.000e+00, val/acc 8.022e-01, val/nll 9.110e-01
[2023-02-13 09:55:53] [Cycle   1/ 30][Epoch  73/200] trn/posterior_energy -1.223e+05, trn/neg_log_likelihood  2.587e+01, trn/neg_log_prior -1.223e+05, trn/lr  2.128e-06, trn/temperature  0.000e+00, val/acc 8.027e-01, val/nll 9.111e-01
