[2023-02-16 23:28:36] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 23:28:36] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.97
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.0003
- args.rho                : 0.01
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.970_b2-0.999_wd-0.0003_eps-1e-1_rho-0.0100_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 23:28:50] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 23:36:24] [Epoch    47/  200] trn/loss 1.006e+00, trn/lr 2.617e+00, trn/scale 1.009e-01, val/acc 3.442e-01, val/nll 2.198e+00
[2023-02-16 23:36:32] [Epoch    48/  200] trn/loss 1.029e+00, trn/lr 2.602e+00, trn/scale 1.008e-01, val/acc 3.867e-01, val/nll 1.723e+00
[2023-02-16 23:36:40] [Epoch    49/  200] trn/loss 1.037e+00, trn/lr 2.585e+00, trn/scale 1.008e-01, val/acc 2.798e-01, val/nll 3.411e+00
[2023-02-16 23:36:48] [Epoch    50/  200] trn/loss 1.017e+00, trn/lr 2.569e+00, trn/scale 1.007e-01, val/acc 3.594e-01, val/nll 2.804e+00
[2023-02-16 23:36:56] [Epoch    51/  200] trn/loss 1.026e+00, trn/lr 2.552e+00, trn/scale 1.007e-01, val/acc 4.420e-01, val/nll 1.779e+00
[2023-02-16 23:37:05] [Epoch    52/  200] trn/loss 1.010e+00, trn/lr 2.535e+00, trn/scale 1.006e-01, val/acc 4.992e-01, val/nll 1.449e+00
[2023-02-16 23:37:13] [Epoch    53/  200] trn/loss 1.034e+00, trn/lr 2.518e+00, trn/scale 1.006e-01, val/acc 5.395e-01, val/nll 1.297e+00
[2023-02-16 23:37:21] [Epoch    54/  200] trn/loss 1.007e+00, trn/lr 2.501e+00, trn/scale 1.005e-01, val/acc 4.850e-01, val/nll 2.164e+00
[2023-02-16 23:37:29] [Epoch    55/  200] trn/loss 1.006e+00, trn/lr 2.483e+00, trn/scale 1.005e-01, val/acc 5.279e-01, val/nll 1.520e+00
[2023-02-16 23:37:38] [Epoch    56/  200] trn/loss 1.010e+00, trn/lr 2.465e+00, trn/scale 1.005e-01, val/acc 6.008e-01, val/nll 1.178e+00
[2023-02-16 23:37:46] [Epoch    57/  200] trn/loss 1.019e+00, trn/lr 2.447e+00, trn/scale 1.005e-01, val/acc 4.799e-01, val/nll 1.753e+00
[2023-02-16 23:37:54] [Epoch    58/  200] trn/loss 1.014e+00, trn/lr 2.429e+00, trn/scale 1.005e-01, val/acc 5.710e-01, val/nll 1.341e+00
[2023-02-16 23:38:02] [Epoch    59/  200] trn/loss 9.949e-01, trn/lr 2.410e+00, trn/scale 1.004e-01, val/acc 4.794e-01, val/nll 2.084e+00
[2023-02-16 23:38:11] [Epoch    60/  200] trn/loss 9.878e-01, trn/lr 2.391e+00, trn/scale 1.004e-01, val/acc 5.831e-01, val/nll 1.184e+00
[2023-02-16 23:38:19] [Epoch    61/  200] trn/loss 9.989e-01, trn/lr 2.372e+00, trn/scale 1.004e-01, val/acc 5.655e-01, val/nll 1.302e+00
[2023-02-16 23:38:27] [Epoch    62/  200] trn/loss 9.913e-01, trn/lr 2.353e+00, trn/scale 1.004e-01, val/acc 6.244e-01, val/nll 1.163e+00
[2023-02-16 23:38:35] [Epoch    63/  200] trn/loss 1.012e+00, trn/lr 2.333e+00, trn/scale 1.004e-01, val/acc 5.702e-01, val/nll 1.400e+00
[2023-02-16 23:38:43] [Epoch    64/  200] trn/loss 9.936e-01, trn/lr 2.314e+00, trn/scale 1.004e-01, val/acc 3.293e-01, val/nll 2.186e+00
[2023-02-16 23:38:52] [Epoch    65/  200] trn/loss 1.014e+00, trn/lr 2.294e+00, trn/scale 1.004e-01, val/acc 5.407e-01, val/nll 1.413e+00
[2023-02-16 23:39:00] [Epoch    66/  200] trn/loss 1.006e+00, trn/lr 2.274e+00, trn/scale 1.004e-01, val/acc 5.949e-01, val/nll 1.336e+00
[2023-02-16 23:39:08] [Epoch    67/  200] trn/loss 9.870e-01, trn/lr 2.253e+00, trn/scale 1.004e-01, val/acc 6.301e-01, val/nll 1.082e+00
[2023-02-16 23:39:16] [Epoch    68/  200] trn/loss 9.821e-01, trn/lr 2.233e+00, trn/scale 1.004e-01, val/acc 3.050e-01, val/nll 3.683e+00
[2023-02-16 23:39:25] [Epoch    69/  200] trn/loss 9.804e-01, trn/lr 2.212e+00, trn/scale 1.004e-01, val/acc 4.662e-01, val/nll 1.828e+00
[2023-02-16 23:39:33] [Epoch    70/  200] trn/loss 9.919e-01, trn/lr 2.192e+00, trn/scale 1.004e-01, val/acc 4.461e-01, val/nll 1.858e+00
[2023-02-16 23:39:41] [Epoch    71/  200] trn/loss 9.984e-01, trn/lr 2.171e+00, trn/scale 1.004e-01, val/acc 6.192e-01, val/nll 1.166e+00
[2023-02-16 23:39:49] [Epoch    72/  200] trn/loss 9.865e-01, trn/lr 2.149e+00, trn/scale 1.004e-01, val/acc 1.597e-01, val/nll 5.811e+00
[2023-02-16 23:39:58] [Epoch    73/  200] trn/loss 9.830e-01, trn/lr 2.128e+00, trn/scale 1.004e-01, val/acc 4.347e-01, val/nll 2.131e+00
[2023-02-16 23:40:06] [Epoch    74/  200] trn/loss 9.786e-01, trn/lr 2.107e+00, trn/scale 1.004e-01, val/acc 4.804e-01, val/nll 1.496e+00
[2023-02-16 23:40:14] [Epoch    75/  200] trn/loss 9.597e-01, trn/lr 2.085e+00, trn/scale 1.004e-01, val/acc 6.113e-01, val/nll 1.273e+00
[2023-02-16 23:40:22] [Epoch    76/  200] trn/loss 9.607e-01, trn/lr 2.063e+00, trn/scale 1.004e-01, val/acc 6.327e-01, val/nll 1.122e+00
