[2023-02-16 23:00:32] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 23:00:32] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.97
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.0003
- args.rho                : 0.03
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.970_b2-0.999_wd-0.0003_eps-1e-1_rho-0.0300_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 23:00:46] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 23:10:21] [Epoch    62/  200] trn/loss 9.665e-01, trn/lr 2.353e+00, trn/scale 1.004e-01, val/acc 6.305e-01, val/nll 1.089e+00
[2023-02-16 23:10:30] [Epoch    63/  200] trn/loss 9.925e-01, trn/lr 2.333e+00, trn/scale 1.004e-01, val/acc 5.252e-01, val/nll 1.507e+00
[2023-02-16 23:10:38] [Epoch    64/  200] trn/loss 9.644e-01, trn/lr 2.314e+00, trn/scale 1.004e-01, val/acc 5.013e-01, val/nll 1.868e+00
[2023-02-16 23:10:46] [Epoch    65/  200] trn/loss 9.687e-01, trn/lr 2.294e+00, trn/scale 1.004e-01, val/acc 6.261e-01, val/nll 1.123e+00
[2023-02-16 23:10:54] [Epoch    66/  200] trn/loss 9.871e-01, trn/lr 2.274e+00, trn/scale 1.004e-01, val/acc 3.817e-01, val/nll 3.596e+00
[2023-02-16 23:11:02] [Epoch    67/  200] trn/loss 9.882e-01, trn/lr 2.253e+00, trn/scale 1.004e-01, val/acc 4.787e-01, val/nll 1.821e+00
[2023-02-16 23:11:10] [Epoch    68/  200] trn/loss 9.607e-01, trn/lr 2.233e+00, trn/scale 1.004e-01, val/acc 4.320e-01, val/nll 2.075e+00
[2023-02-16 23:11:19] [Epoch    69/  200] trn/loss 9.722e-01, trn/lr 2.212e+00, trn/scale 1.004e-01, val/acc 6.284e-01, val/nll 1.067e+00
[2023-02-16 23:11:27] [Epoch    70/  200] trn/loss 9.738e-01, trn/lr 2.192e+00, trn/scale 1.004e-01, val/acc 5.375e-01, val/nll 1.379e+00
[2023-02-16 23:11:35] [Epoch    71/  200] trn/loss 9.588e-01, trn/lr 2.171e+00, trn/scale 1.004e-01, val/acc 3.353e-01, val/nll 2.649e+00
[2023-02-16 23:11:43] [Epoch    72/  200] trn/loss 9.559e-01, trn/lr 2.149e+00, trn/scale 1.004e-01, val/acc 2.871e-01, val/nll 3.813e+00
[2023-02-16 23:11:51] [Epoch    73/  200] trn/loss 9.933e-01, trn/lr 2.128e+00, trn/scale 1.004e-01, val/acc 5.491e-01, val/nll 1.428e+00
[2023-02-16 23:11:59] [Epoch    74/  200] trn/loss 9.625e-01, trn/lr 2.107e+00, trn/scale 1.004e-01, val/acc 6.080e-01, val/nll 1.144e+00
[2023-02-16 23:12:08] [Epoch    75/  200] trn/loss 9.627e-01, trn/lr 2.085e+00, trn/scale 1.004e-01, val/acc 3.982e-01, val/nll 2.798e+00
[2023-02-16 23:12:16] [Epoch    76/  200] trn/loss 9.449e-01, trn/lr 2.063e+00, trn/scale 1.004e-01, val/acc 5.202e-01, val/nll 1.646e+00
[2023-02-16 23:12:24] [Epoch    77/  200] trn/loss 9.367e-01, trn/lr 2.041e+00, trn/scale 1.004e-01, val/acc 4.396e-01, val/nll 2.025e+00
[2023-02-16 23:12:32] [Epoch    78/  200] trn/loss 9.475e-01, trn/lr 2.019e+00, trn/scale 1.004e-01, val/acc 6.778e-01, val/nll 9.580e-01
[2023-02-16 23:12:40] [Epoch    79/  200] trn/loss 9.451e-01, trn/lr 1.997e+00, trn/scale 1.004e-01, val/acc 5.705e-01, val/nll 1.319e+00
[2023-02-16 23:12:48] [Epoch    80/  200] trn/loss 9.377e-01, trn/lr 1.975e+00, trn/scale 1.004e-01, val/acc 4.954e-01, val/nll 1.872e+00
[2023-02-16 23:12:57] [Epoch    81/  200] trn/loss 9.251e-01, trn/lr 1.952e+00, trn/scale 1.004e-01, val/acc 5.404e-01, val/nll 1.450e+00
[2023-02-16 23:13:05] [Epoch    82/  200] trn/loss 9.048e-01, trn/lr 1.930e+00, trn/scale 1.004e-01, val/acc 6.354e-01, val/nll 1.097e+00
[2023-02-16 23:13:13] [Epoch    83/  200] trn/loss 9.216e-01, trn/lr 1.907e+00, trn/scale 1.004e-01, val/acc 6.348e-01, val/nll 1.129e+00
[2023-02-16 23:13:21] [Epoch    84/  200] trn/loss 9.399e-01, trn/lr 1.885e+00, trn/scale 1.004e-01, val/acc 4.868e-01, val/nll 1.678e+00
[2023-02-16 23:13:29] [Epoch    85/  200] trn/loss 9.178e-01, trn/lr 1.862e+00, trn/scale 1.004e-01, val/acc 5.493e-01, val/nll 1.381e+00
[2023-02-16 23:13:37] [Epoch    86/  200] trn/loss 9.219e-01, trn/lr 1.839e+00, trn/scale 1.004e-01, val/acc 4.425e-01, val/nll 1.816e+00
[2023-02-16 23:13:46] [Epoch    87/  200] trn/loss 9.047e-01, trn/lr 1.816e+00, trn/scale 1.004e-01, val/acc 6.239e-01, val/nll 1.208e+00
[2023-02-16 23:13:54] [Epoch    88/  200] trn/loss 9.125e-01, trn/lr 1.793e+00, trn/scale 1.004e-01, val/acc 5.135e-01, val/nll 1.860e+00
[2023-02-16 23:14:02] [Epoch    89/  200] trn/loss 8.925e-01, trn/lr 1.770e+00, trn/scale 1.004e-01, val/acc 5.238e-01, val/nll 1.527e+00
[2023-02-16 23:14:10] [Epoch    90/  200] trn/loss 8.868e-01, trn/lr 1.746e+00, trn/scale 1.004e-01, val/acc 6.187e-01, val/nll 1.248e+00
[2023-02-16 23:14:18] [Epoch    91/  200] trn/loss 8.844e-01, trn/lr 1.723e+00, trn/scale 1.004e-01, val/acc 5.929e-01, val/nll 1.293e+00
[2023-02-16 23:14:27] [Epoch    92/  200] trn/loss 8.895e-01, trn/lr 1.700e+00, trn/scale 1.004e-01, val/acc 6.084e-01, val/nll 1.104e+00
[2023-02-16 23:14:35] [Epoch    93/  200] trn/loss 8.808e-01, trn/lr 1.676e+00, trn/scale 1.004e-01, val/acc 6.762e-01, val/nll 9.494e-01
