[2023-02-05 06:13:39] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-05 06:13:39] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 50
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0050_lr-0.0000003_mo-0.99_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 06:16:50] [Cycle   1/ 30][Epoch  39/ 50] trn/posterior_energy  2.217e+04, trn/neg_log_likelihood  2.671e+04, trn/neg_log_prior -4.538e+03, trn/lr  3.751e-08, trn/temperature  1.000e+00, val/acc 7.191e-01, val/nll 8.009e-01
[2023-02-05 06:16:54] [Cycle   1/ 30][Epoch  40/ 50] trn/posterior_energy  2.198e+04, trn/neg_log_likelihood  2.634e+04, trn/neg_log_prior -4.360e+03, trn/lr  3.150e-08, trn/temperature  1.000e+00, val/acc 7.340e-01, val/nll 7.644e-01
[2023-02-05 06:16:58] [Cycle   1/ 30][Epoch  41/ 50] trn/posterior_energy  2.141e+04, trn/neg_log_likelihood  2.564e+04, trn/neg_log_prior -4.235e+03, trn/lr  2.596e-08, trn/temperature  1.000e+00, val/acc 7.356e-01, val/nll 7.641e-01
[2023-02-05 06:17:02] [Cycle   1/ 30][Epoch  42/ 50] trn/posterior_energy  2.102e+04, trn/neg_log_likelihood  2.514e+04, trn/neg_log_prior -4.121e+03, trn/lr  2.091e-08, trn/temperature  1.000e+00, val/acc 7.385e-01, val/nll 7.547e-01
[2023-02-05 06:17:06] [Cycle   1/ 30][Epoch  43/ 50] trn/posterior_energy  2.100e+04, trn/neg_log_likelihood  2.503e+04, trn/neg_log_prior -4.026e+03, trn/lr  1.638e-08, trn/temperature  1.000e+00, val/acc 7.354e-01, val/nll 7.547e-01
[2023-02-05 06:17:10] [Cycle   1/ 30][Epoch  44/ 50] trn/posterior_energy  2.083e+04, trn/neg_log_likelihood  2.476e+04, trn/neg_log_prior -3.935e+03, trn/lr  1.236e-08, trn/temperature  1.000e+00, val/acc 7.364e-01, val/nll 7.506e-01
[2023-02-05 06:17:14] [Cycle   1/ 30][Epoch  45/ 50] trn/posterior_energy  2.063e+04, trn/neg_log_likelihood  2.453e+04, trn/neg_log_prior -3.893e+03, trn/lr  8.894e-09, trn/temperature  1.000e+00, val/acc 7.363e-01, val/nll 7.486e-01
[2023-02-05 06:17:19] [Cycle   1/ 30][Epoch  46/ 50] trn/posterior_energy  2.058e+04, trn/neg_log_likelihood  2.445e+04, trn/neg_log_prior -3.863e+03, trn/lr  5.982e-09, trn/temperature  1.000e+00, val/acc 7.381e-01, val/nll 7.477e-01
[2023-02-05 06:17:23] [Cycle   1/ 30][Epoch  47/ 50] trn/posterior_energy  2.050e+04, trn/neg_log_likelihood  2.432e+04, trn/neg_log_prior -3.824e+03, trn/lr  3.639e-09, trn/temperature  1.000e+00, val/acc 7.383e-01, val/nll 7.461e-01
[2023-02-05 06:17:27] [Cycle   1/ 30][Epoch  48/ 50] trn/posterior_energy  2.039e+04, trn/neg_log_likelihood  2.420e+04, trn/neg_log_prior -3.813e+03, trn/lr  1.873e-09, trn/temperature  1.000e+00, val/acc 7.364e-01, val/nll 7.465e-01
[2023-02-05 06:17:31] [Cycle   1/ 30][Epoch  49/ 50] trn/posterior_energy  2.033e+04, trn/neg_log_likelihood  2.413e+04, trn/neg_log_prior -3.801e+03, trn/lr  6.911e-10, trn/temperature  1.000e+00, val/acc 7.363e-01, val/nll 7.461e-01
[2023-02-05 06:17:39] [Cycle   1/ 30][Epoch  50/ 50] trn/posterior_energy  2.028e+04, trn/neg_log_likelihood  2.408e+04, trn/neg_log_prior -3.796e+03, trn/lr  9.897e-11, trn/temperature  1.000e+00, val/acc 7.361e-01, val/nll 7.457e-01, val/ens_acc 7.361e-01, val/ens_nll 7.457e-01 (test_acc: 7.361e-01, test_nll: 7.591e-01, test_ens_acc: 7.361e-01, test_ens_nll: 7.591e-01)
[2023-02-05 06:17:43] [Cycle   2/ 30][Epoch   1/ 50] trn/posterior_energy  2.895e+04, trn/neg_log_likelihood  3.292e+04, trn/neg_log_prior -3.975e+03, trn/lr  2.999e-07, trn/temperature  1.000e+00, val/acc 6.945e-01, val/nll 8.616e-01
[2023-02-05 06:17:47] [Cycle   2/ 30][Epoch   2/ 50] trn/posterior_energy  2.966e+04, trn/neg_log_likelihood  3.241e+04, trn/neg_log_prior -2.755e+03, trn/lr  2.993e-07, trn/temperature  1.000e+00, val/acc 6.951e-01, val/nll 8.642e-01
