[2023-02-06 13:13:32] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-06 13:13:32] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 50
- args.num_epochs_noisy  : 0
- args.prior_precision   : 20.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0050-0000_lr-0.0000030_mo-0.97_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 13:17:28] [Cycle   1/ 30][Epoch  48/ 50] trn/posterior_energy  1.743e+05, trn/neg_log_likelihood  2.776e+03, trn/neg_log_prior  1.715e+05, trn/lr  1.873e-08, trn/temperature  0.000e+00, val/acc 7.806e-01, val/nll 7.834e-01
[2023-02-06 13:17:33] [Cycle   1/ 30][Epoch  49/ 50] trn/posterior_energy  1.736e+05, trn/neg_log_likelihood  2.097e+03, trn/neg_log_prior  1.715e+05, trn/lr  6.911e-09, trn/temperature  0.000e+00, val/acc 7.795e-01, val/nll 7.896e-01
[2023-02-06 13:17:42] [Cycle   1/ 30][Epoch  50/ 50] trn/posterior_energy  1.733e+05, trn/neg_log_likelihood  1.876e+03, trn/neg_log_prior  1.714e+05, trn/lr  9.897e-10, trn/temperature  0.000e+00, val/acc 7.792e-01, val/nll 7.908e-01, val/ens_acc 7.792e-01, val/ens_nll 7.907e-01 (test_acc: 7.769e-01, test_nll: 8.010e-01, test_ens_acc: 7.769e-01, test_ens_nll: 8.010e-01)
[2023-02-06 13:17:46] [Cycle   2/ 30][Epoch   1/ 50] trn/posterior_energy  5.734e+05, trn/neg_log_likelihood  1.092e+05, trn/neg_log_prior  4.642e+05, trn/lr  2.999e-06, trn/temperature  0.000e+00, val/acc 1.142e-01, val/nll 2.298e+00
[2023-02-06 13:17:50] [Cycle   2/ 30][Epoch   2/ 50] trn/posterior_energy  3.035e+05, trn/neg_log_likelihood  8.568e+04, trn/neg_log_prior  2.178e+05, trn/lr  2.993e-06, trn/temperature  0.000e+00, val/acc 2.164e-01, val/nll 1.989e+00
[2023-02-06 13:17:54] [Cycle   2/ 30][Epoch   3/ 50] trn/posterior_energy  2.555e+05, trn/neg_log_likelihood  8.192e+04, trn/neg_log_prior  1.736e+05, trn/lr  2.981e-06, trn/temperature  0.000e+00, val/acc 2.830e-01, val/nll 1.932e+00
[2023-02-06 13:17:59] [Cycle   2/ 30][Epoch   4/ 50] trn/posterior_energy  2.464e+05, trn/neg_log_likelihood  7.924e+04, trn/neg_log_prior  1.672e+05, trn/lr  2.964e-06, trn/temperature  0.000e+00, val/acc 3.138e-01, val/nll 1.817e+00
[2023-02-06 13:18:03] [Cycle   2/ 30][Epoch   5/ 50] trn/posterior_energy  2.832e+05, trn/neg_log_likelihood  7.680e+04, trn/neg_log_prior  2.064e+05, trn/lr  2.940e-06, trn/temperature  0.000e+00, val/acc 2.972e-01, val/nll 1.898e+00
[2023-02-06 13:18:07] [Cycle   2/ 30][Epoch   6/ 50] trn/posterior_energy  2.454e+05, trn/neg_log_likelihood  7.558e+04, trn/neg_log_prior  1.698e+05, trn/lr  2.911e-06, trn/temperature  0.000e+00, val/acc 3.067e-01, val/nll 1.839e+00
[2023-02-06 13:18:12] [Cycle   2/ 30][Epoch   7/ 50] trn/posterior_energy  2.394e+05, trn/neg_log_likelihood  7.397e+04, trn/neg_log_prior  1.654e+05, trn/lr  2.876e-06, trn/temperature  0.000e+00, val/acc 3.550e-01, val/nll 1.746e+00
