[2023-02-03 04:55:03] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-03 04:55:03] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.7
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/bs-0080_ne-0500_lr-0.0000003_mo-0.70_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-03 04:59:06] [Epoch    53/  500] trn/posterior_energy -1.180e+05, trn/neg_log_likelihood  4.597e+03, trn/neg_log_prior -1.226e+05, trn/lr  2.919e-07, val/acc 7.209e-01, val/nll 1.171e+00
[2023-02-03 04:59:10] [Epoch    54/  500] trn/posterior_energy -1.190e+05, trn/neg_log_likelihood  3.607e+03, trn/neg_log_prior -1.226e+05, trn/lr  2.916e-07, val/acc 7.167e-01, val/nll 1.234e+00
[2023-02-03 04:59:14] [Epoch    55/  500] trn/posterior_energy -1.188e+05, trn/neg_log_likelihood  3.785e+03, trn/neg_log_prior -1.226e+05, trn/lr  2.913e-07, val/acc 7.392e-01, val/nll 1.136e+00
[2023-02-03 04:59:18] [Epoch    56/  500] trn/posterior_energy -1.206e+05, trn/neg_log_likelihood  1.978e+03, trn/neg_log_prior -1.225e+05, trn/lr  2.910e-07, val/acc 7.481e-01, val/nll 1.120e+00
[2023-02-03 04:59:22] [Epoch    57/  500] trn/posterior_energy -1.219e+05, trn/neg_log_likelihood  6.365e+02, trn/neg_log_prior -1.225e+05, trn/lr  2.906e-07, val/acc 7.466e-01, val/nll 1.195e+00
[2023-02-03 04:59:26] [Epoch    58/  500] trn/posterior_energy -1.223e+05, trn/neg_log_likelihood  2.152e+02, trn/neg_log_prior -1.226e+05, trn/lr  2.903e-07, val/acc 7.565e-01, val/nll 1.152e+00 (best_acc: 7.499e-01 -> 7.565e-01, test_acc: 7.500e-01, test_nll: 1.204e+00)
[2023-02-03 04:59:30] [Epoch    59/  500] trn/posterior_energy -1.224e+05, trn/neg_log_likelihood  1.234e+02, trn/neg_log_prior -1.226e+05, trn/lr  2.900e-07, val/acc 7.560e-01, val/nll 1.164e+00
[2023-02-03 04:59:34] [Epoch    60/  500] trn/posterior_energy -1.225e+05, trn/neg_log_likelihood  9.684e+01, trn/neg_log_prior -1.226e+05, trn/lr  2.896e-07, val/acc 7.559e-01, val/nll 1.182e+00
[2023-02-03 04:59:38] [Epoch    61/  500] trn/posterior_energy -1.225e+05, trn/neg_log_likelihood  8.364e+01, trn/neg_log_prior -1.226e+05, trn/lr  2.893e-07, val/acc 7.549e-01, val/nll 1.194e+00
[2023-02-03 04:59:42] [Epoch    62/  500] trn/posterior_energy -1.225e+05, trn/neg_log_likelihood  7.437e+01, trn/neg_log_prior -1.226e+05, trn/lr  2.889e-07, val/acc 7.553e-01, val/nll 1.205e+00
