[2023-02-04 21:55:10] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-04 21:55:10] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.7
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 50
- args.prior_precision   : 80.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0050_lr-0.0000001_mo-0.70_pr-05/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-04 21:58:35] [Cycle   1/ 30][Epoch  41/ 50] trn/posterior_energy  5.089e+05, trn/neg_log_likelihood  4.106e+04, trn/neg_log_prior  4.679e+05, trn/lr  8.654e-09, trn/temperature  1.000e+00, val/acc 6.139e-01, val/nll 1.061e+00
[2023-02-04 21:58:39] [Cycle   1/ 30][Epoch  42/ 50] trn/posterior_energy  5.089e+05, trn/neg_log_likelihood  4.095e+04, trn/neg_log_prior  4.679e+05, trn/lr  6.972e-09, trn/temperature  1.000e+00, val/acc 6.124e-01, val/nll 1.054e+00
[2023-02-04 21:58:43] [Cycle   1/ 30][Epoch  43/ 50] trn/posterior_energy  5.087e+05, trn/neg_log_likelihood  4.073e+04, trn/neg_log_prior  4.679e+05, trn/lr  5.458e-09, trn/temperature  1.000e+00, val/acc 6.128e-01, val/nll 1.051e+00
[2023-02-04 21:58:47] [Cycle   1/ 30][Epoch  44/ 50] trn/posterior_energy  5.086e+05, trn/neg_log_likelihood  4.061e+04, trn/neg_log_prior  4.680e+05, trn/lr  4.121e-09, trn/temperature  1.000e+00, val/acc 6.136e-01, val/nll 1.048e+00
[2023-02-04 21:58:52] [Cycle   1/ 30][Epoch  45/ 50] trn/posterior_energy  5.085e+05, trn/neg_log_likelihood  4.046e+04, trn/neg_log_prior  4.680e+05, trn/lr  2.965e-09, trn/temperature  1.000e+00, val/acc 6.158e-01, val/nll 1.048e+00
[2023-02-04 21:58:56] [Cycle   1/ 30][Epoch  46/ 50] trn/posterior_energy  5.084e+05, trn/neg_log_likelihood  4.038e+04, trn/neg_log_prior  4.680e+05, trn/lr  1.994e-09, trn/temperature  1.000e+00, val/acc 6.158e-01, val/nll 1.046e+00
[2023-02-04 21:59:00] [Cycle   1/ 30][Epoch  47/ 50] trn/posterior_energy  5.083e+05, trn/neg_log_likelihood  4.030e+04, trn/neg_log_prior  4.680e+05, trn/lr  1.213e-09, trn/temperature  1.000e+00, val/acc 6.167e-01, val/nll 1.045e+00
[2023-02-04 21:59:04] [Cycle   1/ 30][Epoch  48/ 50] trn/posterior_energy  5.083e+05, trn/neg_log_likelihood  4.024e+04, trn/neg_log_prior  4.680e+05, trn/lr  6.242e-10, trn/temperature  1.000e+00, val/acc 6.169e-01, val/nll 1.044e+00
[2023-02-04 21:59:09] [Cycle   1/ 30][Epoch  49/ 50] trn/posterior_energy  5.082e+05, trn/neg_log_likelihood  4.021e+04, trn/neg_log_prior  4.680e+05, trn/lr  2.304e-10, trn/temperature  1.000e+00, val/acc 6.157e-01, val/nll 1.045e+00
[2023-02-04 21:59:18] [Cycle   1/ 30][Epoch  50/ 50] trn/posterior_energy  5.082e+05, trn/neg_log_likelihood  4.019e+04, trn/neg_log_prior  4.680e+05, trn/lr  3.299e-11, trn/temperature  1.000e+00, val/acc 6.160e-01, val/nll 1.044e+00, val/ens_acc 6.160e-01, val/ens_nll 1.044e+00 (test_acc: 6.197e-01, test_nll: 1.059e+00, test_ens_acc: 6.197e-01, test_ens_nll: 1.059e+00)
[2023-02-04 21:59:22] [Cycle   2/ 30][Epoch   1/ 50] trn/posterior_energy  5.154e+05, trn/neg_log_likelihood  4.702e+04, trn/neg_log_prior  4.683e+05, trn/lr  9.997e-08, trn/temperature  1.000e+00, val/acc 5.961e-01, val/nll 1.092e+00
