[2023-06-09 15:16:25] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-06-09 15:16:25] Command line arguments:
- args.data_root             : /mnt/local/datasets/manual/
- args.data_name             : imagenet2012
- args.resnet_depth          : 18
- args.resnet_width          : 1
- args.batch_size            : 2048
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 64000
- args.optim_lr              : 0.8
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.0
- args.optim_global_clipping : None
- args.save                  : ./save/imagenet2012/R18x1_b2048_i64k_lr0.8-wd0.0001-s42-fp16/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-06-09 15:16:25] Multiple local devices are detected:
[StreamExecutorGpuDevice(id=0, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=1, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=2, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=3, process_index=0, slice_index=0)]

[2023-06-09 15:16:40] images.shape: (4, 512, 224, 224, 3), output.shape: (4, 512, 512)
[2023-06-09 18:58:56] [Iter   44000/  64000] trn/loss 1.971e+00, trn/negative_log_likelihood 1.971e+00, trn/w_norm 1.183e+02, trn/g_norm 1.035e+00, trn/lr 2.251e-01, trn/dyn_scale 6.554e+04, val/acc 5.629e-01, val/nll 1.836e+00, val/best_acc 5.629e-01 (best_acc: 5.584e-01 -> 5.629e-01)
[2023-06-09 19:03:57] [Iter   45000/  64000] trn/loss 1.938e+00, trn/negative_log_likelihood 1.938e+00, trn/w_norm 1.170e+02, trn/g_norm 1.056e+00, trn/lr 2.057e-01, trn/dyn_scale 6.554e+04, val/acc 5.626e-01, val/nll 1.851e+00, val/best_acc 5.629e-01
[2023-06-09 19:09:02] [Iter   46000/  64000] trn/loss 1.907e+00, trn/negative_log_likelihood 1.907e+00, trn/w_norm 1.157e+02, trn/g_norm 1.082e+00, trn/lr 1.870e-01, trn/dyn_scale 6.554e+04, val/acc 5.850e-01, val/nll 1.741e+00, val/best_acc 5.850e-01 (best_acc: 5.629e-01 -> 5.850e-01)
[2023-06-09 19:14:05] [Iter   47000/  64000] trn/loss 1.877e+00, trn/negative_log_likelihood 1.877e+00, trn/w_norm 1.143e+02, trn/g_norm 1.107e+00, trn/lr 1.688e-01, trn/dyn_scale 6.554e+04, val/acc 5.996e-01, val/nll 1.662e+00, val/best_acc 5.996e-01 (best_acc: 5.850e-01 -> 5.996e-01)
[2023-06-09 19:19:09] [Iter   48000/  64000] trn/loss 1.840e+00, trn/negative_log_likelihood 1.840e+00, trn/w_norm 1.130e+02, trn/g_norm 1.135e+00, trn/lr 1.514e-01, trn/dyn_scale 6.554e+04, val/acc 6.034e-01, val/nll 1.661e+00, val/best_acc 6.034e-01 (best_acc: 5.996e-01 -> 6.034e-01)
[2023-06-09 19:24:01] [Iter   49000/  64000] trn/loss 1.805e+00, trn/negative_log_likelihood 1.805e+00, trn/w_norm 1.116e+02, trn/g_norm 1.165e+00, trn/lr 1.347e-01, trn/dyn_scale 6.554e+04, val/acc 6.053e-01, val/nll 1.644e+00, val/best_acc 6.053e-01 (best_acc: 6.034e-01 -> 6.053e-01)
[2023-06-09 19:28:49] [Iter   50000/  64000] trn/loss 1.769e+00, trn/negative_log_likelihood 1.769e+00, trn/w_norm 1.102e+02, trn/g_norm 1.197e+00, trn/lr 1.187e-01, trn/dyn_scale 6.554e+04, val/acc 6.227e-01, val/nll 1.560e+00, val/best_acc 6.227e-01 (best_acc: 6.053e-01 -> 6.227e-01)
[2023-06-09 19:33:38] [Iter   51000/  64000] trn/loss 1.732e+00, trn/negative_log_likelihood 1.732e+00, trn/w_norm 1.088e+02, trn/g_norm 1.230e+00, trn/lr 1.037e-01, trn/dyn_scale 6.554e+04, val/acc 6.235e-01, val/nll 1.550e+00, val/best_acc 6.235e-01 (best_acc: 6.227e-01 -> 6.235e-01)
[2023-06-09 19:38:33] [Iter   52000/  64000] trn/loss 1.695e+00, trn/negative_log_likelihood 1.695e+00, trn/w_norm 1.074e+02, trn/g_norm 1.266e+00, trn/lr 8.946e-02, trn/dyn_scale 6.554e+04, val/acc 6.367e-01, val/nll 1.491e+00, val/best_acc 6.367e-01 (best_acc: 6.235e-01 -> 6.367e-01)
[2023-06-09 19:43:31] [Iter   53000/  64000] trn/loss 1.657e+00, trn/negative_log_likelihood 1.657e+00, trn/w_norm 1.061e+02, trn/g_norm 1.300e+00, trn/lr 7.618e-02, trn/dyn_scale 6.554e+04, val/acc 6.423e-01, val/nll 1.464e+00, val/best_acc 6.423e-01 (best_acc: 6.367e-01 -> 6.423e-01)
[2023-06-09 19:48:33] [Iter   54000/  64000] trn/loss 1.617e+00, trn/negative_log_likelihood 1.617e+00, trn/w_norm 1.047e+02, trn/g_norm 1.341e+00, trn/lr 6.387e-02, trn/dyn_scale 6.554e+04, val/acc 6.543e-01, val/nll 1.412e+00, val/best_acc 6.543e-01 (best_acc: 6.423e-01 -> 6.543e-01)
[2023-06-09 19:53:31] [Iter   55000/  64000] trn/loss 1.575e+00, trn/negative_log_likelihood 1.575e+00, trn/w_norm 1.035e+02, trn/g_norm 1.380e+00, trn/lr 5.255e-02, trn/dyn_scale 6.554e+04, val/acc 6.543e-01, val/nll 1.418e+00, val/best_acc 6.543e-01 (best_acc: 6.543e-01 -> 6.543e-01)
[2023-06-09 19:58:28] [Iter   56000/  64000] trn/loss 1.533e+00, trn/negative_log_likelihood 1.533e+00, trn/w_norm 1.023e+02, trn/g_norm 1.419e+00, trn/lr 4.227e-02, trn/dyn_scale 6.554e+04, val/acc 6.680e-01, val/nll 1.359e+00, val/best_acc 6.680e-01 (best_acc: 6.543e-01 -> 6.680e-01)
[2023-06-09 20:03:21] [Iter   57000/  64000] trn/loss 1.495e+00, trn/negative_log_likelihood 1.495e+00, trn/w_norm 1.012e+02, trn/g_norm 1.461e+00, trn/lr 3.305e-02, trn/dyn_scale 6.554e+04, val/acc 6.781e-01, val/nll 1.315e+00, val/best_acc 6.781e-01 (best_acc: 6.680e-01 -> 6.781e-01)
[2023-06-09 20:08:17] [Iter   58000/  64000] trn/loss 1.456e+00, trn/negative_log_likelihood 1.456e+00, trn/w_norm 1.003e+02, trn/g_norm 1.498e+00, trn/lr 2.492e-02, trn/dyn_scale 6.554e+04, val/acc 6.814e-01, val/nll 1.302e+00, val/best_acc 6.814e-01 (best_acc: 6.781e-01 -> 6.814e-01)
[2023-06-09 20:13:15] [Iter   59000/  64000] trn/loss 1.417e+00, trn/negative_log_likelihood 1.417e+00, trn/w_norm 9.948e+01, trn/g_norm 1.529e+00, trn/lr 1.791e-02, trn/dyn_scale 6.554e+04, val/acc 6.913e-01, val/nll 1.254e+00, val/best_acc 6.913e-01 (best_acc: 6.814e-01 -> 6.913e-01)
[2023-06-09 20:18:11] [Iter   60000/  64000] trn/loss 1.385e+00, trn/negative_log_likelihood 1.385e+00, trn/w_norm 9.887e+01, trn/g_norm 1.556e+00, trn/lr 1.204e-02, trn/dyn_scale 6.554e+04, val/acc 6.978e-01, val/nll 1.230e+00, val/best_acc 6.978e-01 (best_acc: 6.913e-01 -> 6.978e-01)
[2023-06-09 20:23:08] [Iter   61000/  64000] trn/loss 1.356e+00, trn/negative_log_likelihood 1.356e+00, trn/w_norm 9.844e+01, trn/g_norm 1.575e+00, trn/lr 7.317e-03, trn/dyn_scale 6.554e+04, val/acc 7.000e-01, val/nll 1.214e+00, val/best_acc 7.000e-01 (best_acc: 6.978e-01 -> 7.000e-01)
[2023-06-09 20:28:04] [Iter   62000/  64000] trn/loss 1.336e+00, trn/negative_log_likelihood 1.336e+00, trn/w_norm 9.817e+01, trn/g_norm 1.587e+00, trn/lr 3.763e-03, trn/dyn_scale 6.554e+04, val/acc 7.037e-01, val/nll 1.202e+00, val/best_acc 7.037e-01 (best_acc: 7.000e-01 -> 7.037e-01)
