[2023-02-16 09:29:41] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 09:29:41] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.7
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.03
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.700_b2-0.999_wd-0.0010_eps-1e-1_rho-0.0300_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 09:29:47] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 09:40:39] [Epoch    72/  200] trn/loss 2.628e+00, trn/lr 2.149e+00, trn/scale 1.010e-01, val/acc 9.856e-02, val/nll 2.323e+00
[2023-02-16 09:40:47] [Epoch    73/  200] trn/loss 2.285e+00, trn/lr 2.128e+00, trn/scale 1.010e-01, val/acc 1.190e-01, val/nll 2.295e+00
[2023-02-16 09:40:55] [Epoch    74/  200] trn/loss 2.241e+00, trn/lr 2.107e+00, trn/scale 1.010e-01, val/acc 9.956e-02, val/nll 6.806e+00
[2023-02-16 09:41:03] [Epoch    75/  200] trn/loss 2.432e+00, trn/lr 2.085e+00, trn/scale 1.010e-01, val/acc 1.044e-01, val/nll 1.180e+01
[2023-02-16 09:41:11] [Epoch    76/  200] trn/loss 2.496e+00, trn/lr 2.063e+00, trn/scale 1.010e-01, val/acc 9.270e-02, val/nll 2.530e+00
[2023-02-16 09:41:19] [Epoch    77/  200] trn/loss 2.309e+00, trn/lr 2.041e+00, trn/scale 1.010e-01, val/acc 9.945e-02, val/nll 1.182e+04
[2023-02-16 09:41:27] [Epoch    78/  200] trn/loss 2.356e+00, trn/lr 2.019e+00, trn/scale 1.010e-01, val/acc 9.945e-02, val/nll 2.326e+00
[2023-02-16 09:41:36] [Epoch    79/  200] trn/loss 2.279e+00, trn/lr 1.997e+00, trn/scale 1.010e-01, val/acc 9.281e-02, val/nll 2.317e+00
[2023-02-16 09:41:44] [Epoch    80/  200] trn/loss 2.312e+00, trn/lr 1.975e+00, trn/scale 1.010e-01, val/acc 1.081e-01, val/nll 2.325e+00
[2023-02-16 09:41:52] [Epoch    81/  200] trn/loss 2.413e+00, trn/lr 1.952e+00, trn/scale 1.010e-01, val/acc 1.532e-01, val/nll 2.408e+00
[2023-02-16 09:42:00] [Epoch    82/  200] trn/loss 2.261e+00, trn/lr 1.930e+00, trn/scale 1.010e-01, val/acc 9.978e-02, val/nll 2.475e+00
[2023-02-16 09:42:08] [Epoch    83/  200] trn/loss 2.217e+00, trn/lr 1.907e+00, trn/scale 1.010e-01, val/acc 1.633e-01, val/nll 2.135e+00
[2023-02-16 09:42:17] [Epoch    84/  200] trn/loss 2.281e+00, trn/lr 1.885e+00, trn/scale 1.010e-01, val/acc 1.044e-01, val/nll 3.048e+00
[2023-02-16 09:42:25] [Epoch    85/  200] trn/loss 2.284e+00, trn/lr 1.862e+00, trn/scale 1.010e-01, val/acc 9.856e-02, val/nll 5.324e+00
[2023-02-16 09:42:33] [Epoch    86/  200] trn/loss 2.250e+00, trn/lr 1.839e+00, trn/scale 1.010e-01, val/acc 1.188e-01, val/nll 2.288e+00
[2023-02-16 09:42:41] [Epoch    87/  200] trn/loss 2.241e+00, trn/lr 1.816e+00, trn/scale 1.010e-01, val/acc 1.013e-01, val/nll 2.458e+00
[2023-02-16 09:42:49] [Epoch    88/  200] trn/loss 2.175e+00, trn/lr 1.793e+00, trn/scale 1.010e-01, val/acc 1.006e-01, val/nll 2.449e+00
[2023-02-16 09:42:57] [Epoch    89/  200] trn/loss 2.132e+00, trn/lr 1.770e+00, trn/scale 1.010e-01, val/acc 1.475e-01, val/nll 2.155e+00
[2023-02-16 09:43:06] [Epoch    90/  200] trn/loss 2.110e+00, trn/lr 1.746e+00, trn/scale 1.010e-01, val/acc 1.011e-01, val/nll 2.870e+00
[2023-02-16 09:43:14] [Epoch    91/  200] trn/loss 2.174e+00, trn/lr 1.723e+00, trn/scale 1.010e-01, val/acc 9.281e-02, val/nll 3.845e+00
[2023-02-16 09:43:22] [Epoch    92/  200] trn/loss 2.173e+00, trn/lr 1.700e+00, trn/scale 1.010e-01, val/acc 9.978e-02, val/nll 3.557e+00
[2023-02-16 09:43:30] [Epoch    93/  200] trn/loss 2.296e+00, trn/lr 1.676e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.308e+00
[2023-02-16 09:43:38] [Epoch    94/  200] trn/loss 2.263e+00, trn/lr 1.653e+00, trn/scale 1.010e-01, val/acc 1.052e-01, val/nll 2.348e+00
[2023-02-16 09:43:47] [Epoch    95/  200] trn/loss 2.164e+00, trn/lr 1.630e+00, trn/scale 1.010e-01, val/acc 9.801e-02, val/nll 2.566e+00
[2023-02-16 09:43:55] [Epoch    96/  200] trn/loss 2.190e+00, trn/lr 1.606e+00, trn/scale 1.010e-01, val/acc 9.192e-02, val/nll 2.394e+00
[2023-02-16 09:44:03] [Epoch    97/  200] trn/loss 2.212e+00, trn/lr 1.582e+00, trn/scale 1.010e-01, val/acc 1.459e-01, val/nll 2.856e+00
[2023-02-16 09:44:11] [Epoch    98/  200] trn/loss 2.151e+00, trn/lr 1.559e+00, trn/scale 1.010e-01, val/acc 9.923e-02, val/nll 2.456e+00
[2023-02-16 09:44:19] [Epoch    99/  200] trn/loss 2.117e+00, trn/lr 1.535e+00, trn/scale 1.010e-01, val/acc 1.861e-01, val/nll 2.085e+00
[2023-02-16 09:44:27] [Epoch   100/  200] trn/loss 2.060e+00, trn/lr 1.512e+00, trn/scale 1.010e-01, val/acc 1.100e-01, val/nll 2.491e+00
[2023-02-16 09:44:36] [Epoch   101/  200] trn/loss 2.055e+00, trn/lr 1.488e+00, trn/scale 1.010e-01, val/acc 1.740e-01, val/nll 2.683e+00
[2023-02-16 09:44:44] [Epoch   102/  200] trn/loss 2.033e+00, trn/lr 1.465e+00, trn/scale 1.010e-01, val/acc 2.166e-01, val/nll 1.982e+00
[2023-02-16 09:44:52] [Epoch   103/  200] trn/loss 2.176e+00, trn/lr 1.441e+00, trn/scale 1.010e-01, val/acc 1.577e-01, val/nll 2.065e+00
[2023-02-16 09:45:00] [Epoch   104/  200] trn/loss 2.178e+00, trn/lr 1.418e+00, trn/scale 1.010e-01, val/acc 1.044e-01, val/nll 1.854e+01
[2023-02-16 09:45:08] [Epoch   105/  200] trn/loss 2.111e+00, trn/lr 1.394e+00, trn/scale 1.010e-01, val/acc 1.275e-01, val/nll 2.775e+00
[2023-02-16 09:45:17] [Epoch   106/  200] trn/loss 2.070e+00, trn/lr 1.371e+00, trn/scale 1.010e-01, val/acc 1.358e-01, val/nll 2.269e+00
[2023-02-16 09:45:25] [Epoch   107/  200] trn/loss 2.048e+00, trn/lr 1.347e+00, trn/scale 1.010e-01, val/acc 1.731e-01, val/nll 2.106e+00
[2023-02-16 09:45:33] [Epoch   108/  200] trn/loss 2.106e+00, trn/lr 1.324e+00, trn/scale 1.010e-01, val/acc 1.044e-01, val/nll 5.333e+00
[2023-02-16 09:45:41] [Epoch   109/  200] trn/loss 2.095e+00, trn/lr 1.300e+00, trn/scale 1.010e-01, val/acc 1.804e-01, val/nll 2.119e+00
[2023-02-16 09:45:49] [Epoch   110/  200] trn/loss 2.052e+00, trn/lr 1.277e+00, trn/scale 1.010e-01, val/acc 1.926e-01, val/nll 1.983e+00
[2023-02-16 09:45:58] [Epoch   111/  200] trn/loss 2.036e+00, trn/lr 1.254e+00, trn/scale 1.010e-01, val/acc 1.935e-01, val/nll 2.079e+00
[2023-02-16 09:46:06] [Epoch   112/  200] trn/loss 2.018e+00, trn/lr 1.231e+00, trn/scale 1.010e-01, val/acc 1.742e-01, val/nll 2.205e+00
[2023-02-16 09:46:14] [Epoch   113/  200] trn/loss 2.031e+00, trn/lr 1.207e+00, trn/scale 1.010e-01, val/acc 1.638e-01, val/nll 2.150e+00
[2023-02-16 09:46:22] [Epoch   114/  200] trn/loss 2.079e+00, trn/lr 1.184e+00, trn/scale 1.010e-01, val/acc 1.148e-01, val/nll 2.463e+00
