[2023-02-03 21:30:25] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-03 21:30:25] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR100_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.97
- args.prior_precision   : 40.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR100_x32/R20-FRN-Swish/bs-0080_ne-0500_lr-0.0000030_mo-0.97_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-03 21:34:12] [Epoch    54/  500] trn/posterior_energy  4.389e+05, trn/neg_log_likelihood  1.706e+05, trn/neg_log_prior  2.683e+05, trn/lr  2.916e-06, val/acc 5.011e-02, val/nll 4.199e+00
[2023-02-03 21:34:15] [Epoch    55/  500] trn/posterior_energy  4.411e+05, trn/neg_log_likelihood  1.708e+05, trn/neg_log_prior  2.703e+05, trn/lr  2.913e-06, val/acc 5.542e-02, val/nll 4.183e+00
[2023-02-03 21:34:19] [Epoch    56/  500] trn/posterior_energy  4.391e+05, trn/neg_log_likelihood  1.700e+05, trn/neg_log_prior  2.690e+05, trn/lr  2.910e-06, val/acc 6.195e-02, val/nll 4.173e+00
[2023-02-03 21:34:23] [Epoch    57/  500] trn/posterior_energy  4.389e+05, trn/neg_log_likelihood  1.704e+05, trn/neg_log_prior  2.685e+05, trn/lr  2.906e-06, val/acc 6.206e-02, val/nll 4.112e+00
[2023-02-03 21:34:27] [Epoch    58/  500] trn/posterior_energy  4.381e+05, trn/neg_log_likelihood  1.698e+05, trn/neg_log_prior  2.682e+05, trn/lr  2.903e-06, val/acc 4.392e-02, val/nll 4.168e+00
[2023-02-03 21:34:31] [Epoch    59/  500] trn/posterior_energy  4.378e+05, trn/neg_log_likelihood  1.697e+05, trn/neg_log_prior  2.681e+05, trn/lr  2.900e-06, val/acc 5.387e-02, val/nll 4.154e+00
[2023-02-03 21:34:35] [Epoch    60/  500] trn/posterior_energy  4.376e+05, trn/neg_log_likelihood  1.693e+05, trn/neg_log_prior  2.683e+05, trn/lr  2.896e-06, val/acc 5.741e-02, val/nll 4.120e+00
[2023-02-03 21:34:38] [Epoch    61/  500] trn/posterior_energy  4.381e+05, trn/neg_log_likelihood  1.697e+05, trn/neg_log_prior  2.684e+05, trn/lr  2.893e-06, val/acc 5.940e-02, val/nll 4.106e+00
[2023-02-03 21:34:42] [Epoch    62/  500] trn/posterior_energy  4.474e+05, trn/neg_log_likelihood  1.708e+05, trn/neg_log_prior  2.766e+05, trn/lr  2.889e-06, val/acc 5.177e-02, val/nll 4.117e+00
[2023-02-03 21:34:46] [Epoch    63/  500] trn/posterior_energy  4.371e+05, trn/neg_log_likelihood  1.691e+05, trn/neg_log_prior  2.680e+05, trn/lr  2.886e-06, val/acc 5.774e-02, val/nll 4.118e+00
[2023-02-03 21:34:50] [Epoch    64/  500] trn/posterior_energy  4.379e+05, trn/neg_log_likelihood  1.697e+05, trn/neg_log_prior  2.682e+05, trn/lr  2.882e-06, val/acc 6.139e-02, val/nll 4.130e+00
[2023-02-03 21:34:54] [Epoch    65/  500] trn/posterior_energy  4.381e+05, trn/neg_log_likelihood  1.700e+05, trn/neg_log_prior  2.681e+05, trn/lr  2.878e-06, val/acc 5.586e-02, val/nll 4.169e+00
[2023-02-03 21:34:57] [Epoch    66/  500] trn/posterior_energy  4.390e+05, trn/neg_log_likelihood  1.701e+05, trn/neg_log_prior  2.689e+05, trn/lr  2.875e-06, val/acc 5.653e-02, val/nll 4.156e+00
[2023-02-03 21:35:01] [Epoch    67/  500] trn/posterior_energy  4.390e+05, trn/neg_log_likelihood  1.698e+05, trn/neg_log_prior  2.692e+05, trn/lr  2.871e-06, val/acc 5.708e-02, val/nll 4.120e+00
[2023-02-03 21:35:05] [Epoch    68/  500] trn/posterior_energy  4.390e+05, trn/neg_log_likelihood  1.707e+05, trn/neg_log_prior  2.682e+05, trn/lr  2.867e-06, val/acc 4.580e-02, val/nll 4.233e+00
[2023-02-03 21:35:09] [Epoch    69/  500] trn/posterior_energy  4.389e+05, trn/neg_log_likelihood  1.697e+05, trn/neg_log_prior  2.692e+05, trn/lr  2.863e-06, val/acc 5.376e-02, val/nll 4.175e+00
[2023-02-03 21:35:12] [Epoch    70/  500] trn/posterior_energy  4.386e+05, trn/neg_log_likelihood  1.700e+05, trn/neg_log_prior  2.686e+05, trn/lr  2.859e-06, val/acc 5.730e-02, val/nll 4.107e+00
[2023-02-03 21:35:16] [Epoch    71/  500] trn/posterior_energy  4.420e+05, trn/neg_log_likelihood  1.704e+05, trn/neg_log_prior  2.716e+05, trn/lr  2.855e-06, val/acc 5.454e-02, val/nll 4.138e+00
[2023-02-03 21:35:20] [Epoch    72/  500] trn/posterior_energy  4.390e+05, trn/neg_log_likelihood  1.701e+05, trn/neg_log_prior  2.689e+05, trn/lr  2.851e-06, val/acc 4.779e-02, val/nll 4.148e+00
[2023-02-03 21:35:24] [Epoch    73/  500] trn/posterior_energy  4.375e+05, trn/neg_log_likelihood  1.692e+05, trn/neg_log_prior  2.683e+05, trn/lr  2.847e-06, val/acc 5.476e-02, val/nll 4.154e+00
[2023-02-03 21:35:27] [Epoch    74/  500] trn/posterior_energy  4.389e+05, trn/neg_log_likelihood  1.703e+05, trn/neg_log_prior  2.686e+05, trn/lr  2.843e-06, val/acc 4.082e-02, val/nll 4.219e+00
[2023-02-03 21:35:31] [Epoch    75/  500] trn/posterior_energy  4.392e+05, trn/neg_log_likelihood  1.707e+05, trn/neg_log_prior  2.684e+05, trn/lr  2.839e-06, val/acc 6.195e-02, val/nll 4.097e+00
[2023-02-03 21:35:35] [Epoch    76/  500] trn/posterior_energy  4.378e+05, trn/neg_log_likelihood  1.694e+05, trn/neg_log_prior  2.684e+05, trn/lr  2.834e-06, val/acc 4.325e-02, val/nll 4.177e+00
[2023-02-03 21:35:39] [Epoch    77/  500] trn/posterior_energy  4.380e+05, trn/neg_log_likelihood  1.693e+05, trn/neg_log_prior  2.688e+05, trn/lr  2.830e-06, val/acc 5.476e-02, val/nll 4.186e+00
[2023-02-03 21:35:43] [Epoch    78/  500] trn/posterior_energy  4.386e+05, trn/neg_log_likelihood  1.698e+05, trn/neg_log_prior  2.687e+05, trn/lr  2.826e-06, val/acc 4.292e-02, val/nll 4.203e+00
