[2023-02-06 15:40:30] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-06 15:40:30] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 100
- args.prior_precision   : 40.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0100_lr-0.0000030_mo-0.99_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 15:44:55] [Cycle   1/ 30][Epoch  44/100] trn/posterior_energy  4.830e+05, trn/neg_log_likelihood  8.315e+04, trn/neg_log_prior  3.998e+05, trn/lr  1.804e-06, trn/temperature  1.000e+00, val/acc 2.520e-01, val/nll 2.003e+00
[2023-02-06 15:45:00] [Cycle   1/ 30][Epoch  45/100] trn/posterior_energy  4.827e+05, trn/neg_log_likelihood  8.314e+04, trn/neg_log_prior  3.995e+05, trn/lr  1.758e-06, trn/temperature  1.000e+00, val/acc 2.572e-01, val/nll 1.983e+00
[2023-02-06 15:45:06] [Cycle   1/ 30][Epoch  46/100] trn/posterior_energy  4.815e+05, trn/neg_log_likelihood  8.290e+04, trn/neg_log_prior  3.986e+05, trn/lr  1.711e-06, trn/temperature  1.000e+00, val/acc 2.357e-01, val/nll 2.033e+00
[2023-02-06 15:45:11] [Cycle   1/ 30][Epoch  47/100] trn/posterior_energy  4.816e+05, trn/neg_log_likelihood  8.308e+04, trn/neg_log_prior  3.985e+05, trn/lr  1.665e-06, trn/temperature  1.000e+00, val/acc 2.350e-01, val/nll 2.021e+00
[2023-02-06 15:45:16] [Cycle   1/ 30][Epoch  48/100] trn/posterior_energy  4.813e+05, trn/neg_log_likelihood  8.312e+04, trn/neg_log_prior  3.982e+05, trn/lr  1.618e-06, trn/temperature  1.000e+00, val/acc 2.610e-01, val/nll 2.032e+00
[2023-02-06 15:45:21] [Cycle   1/ 30][Epoch  49/100] trn/posterior_energy  4.804e+05, trn/neg_log_likelihood  8.249e+04, trn/neg_log_prior  3.979e+05, trn/lr  1.571e-06, trn/temperature  1.000e+00, val/acc 2.384e-01, val/nll 2.055e+00
[2023-02-06 15:45:27] [Cycle   1/ 30][Epoch  50/100] trn/posterior_energy  4.797e+05, trn/neg_log_likelihood  8.236e+04, trn/neg_log_prior  3.974e+05, trn/lr  1.524e-06, trn/temperature  1.000e+00, val/acc 2.564e-01, val/nll 1.969e+00
[2023-02-06 15:45:32] [Cycle   1/ 30][Epoch  51/100] trn/posterior_energy  4.782e+05, trn/neg_log_likelihood  8.150e+04, trn/neg_log_prior  3.967e+05, trn/lr  1.476e-06, trn/temperature  1.000e+00, val/acc 2.469e-01, val/nll 1.982e+00
[2023-02-06 15:45:37] [Cycle   1/ 30][Epoch  52/100] trn/posterior_energy  4.803e+05, trn/neg_log_likelihood  8.260e+04, trn/neg_log_prior  3.977e+05, trn/lr  1.429e-06, trn/temperature  1.000e+00, val/acc 2.216e-01, val/nll 2.080e+00
[2023-02-06 15:45:42] [Cycle   1/ 30][Epoch  53/100] trn/posterior_energy  4.790e+05, trn/neg_log_likelihood  8.127e+04, trn/neg_log_prior  3.977e+05, trn/lr  1.382e-06, trn/temperature  1.000e+00, val/acc 2.421e-01, val/nll 2.033e+00
[2023-02-06 15:45:48] [Cycle   1/ 30][Epoch  54/100] trn/posterior_energy  4.812e+05, trn/neg_log_likelihood  8.319e+04, trn/neg_log_prior  3.980e+05, trn/lr  1.335e-06, trn/temperature  1.000e+00, val/acc 2.491e-01, val/nll 1.994e+00
[2023-02-06 15:45:53] [Cycle   1/ 30][Epoch  55/100] trn/posterior_energy  4.793e+05, trn/neg_log_likelihood  8.115e+04, trn/neg_log_prior  3.981e+05, trn/lr  1.289e-06, trn/temperature  1.000e+00, val/acc 2.315e-01, val/nll 1.983e+00
[2023-02-06 15:45:58] [Cycle   1/ 30][Epoch  56/100] trn/posterior_energy  4.781e+05, trn/neg_log_likelihood  8.084e+04, trn/neg_log_prior  3.973e+05, trn/lr  1.242e-06, trn/temperature  1.000e+00, val/acc 2.802e-01, val/nll 1.915e+00
[2023-02-06 15:46:03] [Cycle   1/ 30][Epoch  57/100] trn/posterior_energy  4.779e+05, trn/neg_log_likelihood  8.087e+04, trn/neg_log_prior  3.971e+05, trn/lr  1.196e-06, trn/temperature  1.000e+00, val/acc 2.598e-01, val/nll 1.953e+00
[2023-02-06 15:46:09] [Cycle   1/ 30][Epoch  58/100] trn/posterior_energy  4.787e+05, trn/neg_log_likelihood  8.123e+04, trn/neg_log_prior  3.975e+05, trn/lr  1.150e-06, trn/temperature  1.000e+00, val/acc 2.773e-01, val/nll 1.939e+00
[2023-02-06 15:46:14] [Cycle   1/ 30][Epoch  59/100] trn/posterior_energy  4.788e+05, trn/neg_log_likelihood  8.119e+04, trn/neg_log_prior  3.976e+05, trn/lr  1.104e-06, trn/temperature  1.000e+00, val/acc 2.533e-01, val/nll 1.964e+00
[2023-02-06 15:46:19] [Cycle   1/ 30][Epoch  60/100] trn/posterior_energy  4.768e+05, trn/neg_log_likelihood  7.969e+04, trn/neg_log_prior  3.971e+05, trn/lr  1.059e-06, trn/temperature  1.000e+00, val/acc 3.027e-01, val/nll 1.888e+00
