[2023-02-05 00:12:41] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 00:12:41] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.7
- args.prior_precision   : 20.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000010_mo-0.70_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 00:12:46] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 00:23:11] [Epoch    46/  500] trn/posterior_energy  2.514e+06, trn/neg_log_likelihood  2.818e+03, trn/neg_log_prior  2.511e+06, trn/lr  9.797e-07, val/acc 8.309e-01, val/nll 6.491e-01 (best_acc: 8.305e-01 -> 8.309e-01, test_acc: 8.345e-01, test_nll: 6.351e-01)
[2023-02-05 00:23:23] [Epoch    47/  500] trn/posterior_energy  2.514e+06, trn/neg_log_likelihood  3.046e+03, trn/neg_log_prior  2.511e+06, trn/lr  9.788e-07, val/acc 8.185e-01, val/nll 6.620e-01
[2023-02-05 00:23:34] [Epoch    48/  500] trn/posterior_energy  2.514e+06, trn/neg_log_likelihood  3.152e+03, trn/neg_log_prior  2.511e+06, trn/lr  9.779e-07, val/acc 8.019e-01, val/nll 7.106e-01
[2023-02-05 00:23:46] [Epoch    49/  500] trn/posterior_energy  2.514e+06, trn/neg_log_likelihood  3.019e+03, trn/neg_log_prior  2.511e+06, trn/lr  9.770e-07, val/acc 8.157e-01, val/nll 6.758e-01
[2023-02-05 00:23:58] [Epoch    50/  500] trn/posterior_energy  2.514e+06, trn/neg_log_likelihood  2.891e+03, trn/neg_log_prior  2.511e+06, trn/lr  9.760e-07, val/acc 8.191e-01, val/nll 6.766e-01
[2023-02-05 00:24:10] [Epoch    51/  500] trn/posterior_energy  2.513e+06, trn/neg_log_likelihood  2.635e+03, trn/neg_log_prior  2.510e+06, trn/lr  9.750e-07, val/acc 8.070e-01, val/nll 7.495e-01
[2023-02-05 00:24:22] [Epoch    52/  500] trn/posterior_energy  2.513e+06, trn/neg_log_likelihood  2.771e+03, trn/neg_log_prior  2.510e+06, trn/lr  9.741e-07, val/acc 8.262e-01, val/nll 6.649e-01
[2023-02-05 00:24:34] [Epoch    53/  500] trn/posterior_energy  2.513e+06, trn/neg_log_likelihood  2.756e+03, trn/neg_log_prior  2.510e+06, trn/lr  9.730e-07, val/acc 8.069e-01, val/nll 7.310e-01
[2023-02-05 00:24:46] [Epoch    54/  500] trn/posterior_energy  2.513e+06, trn/neg_log_likelihood  3.053e+03, trn/neg_log_prior  2.510e+06, trn/lr  9.720e-07, val/acc 8.153e-01, val/nll 6.559e-01
[2023-02-05 00:24:58] [Epoch    55/  500] trn/posterior_energy  2.512e+06, trn/neg_log_likelihood  2.702e+03, trn/neg_log_prior  2.510e+06, trn/lr  9.710e-07, val/acc 8.025e-01, val/nll 7.246e-01
[2023-02-05 00:25:09] [Epoch    56/  500] trn/posterior_energy  2.512e+06, trn/neg_log_likelihood  2.667e+03, trn/neg_log_prior  2.510e+06, trn/lr  9.699e-07, val/acc 8.077e-01, val/nll 7.266e-01
[2023-02-05 00:25:21] [Epoch    57/  500] trn/posterior_energy  2.512e+06, trn/neg_log_likelihood  2.679e+03, trn/neg_log_prior  2.509e+06, trn/lr  9.688e-07, val/acc 8.101e-01, val/nll 7.049e-01
[2023-02-05 00:25:33] [Epoch    58/  500] trn/posterior_energy  2.512e+06, trn/neg_log_likelihood  2.776e+03, trn/neg_log_prior  2.509e+06, trn/lr  9.677e-07, val/acc 8.235e-01, val/nll 6.695e-01
[2023-02-05 00:25:45] [Epoch    59/  500] trn/posterior_energy  2.512e+06, trn/neg_log_likelihood  2.911e+03, trn/neg_log_prior  2.509e+06, trn/lr  9.666e-07, val/acc 8.132e-01, val/nll 7.131e-01
[2023-02-05 00:25:57] [Epoch    60/  500] trn/posterior_energy  2.512e+06, trn/neg_log_likelihood  2.795e+03, trn/neg_log_prior  2.509e+06, trn/lr  9.655e-07, val/acc 8.121e-01, val/nll 7.325e-01
[2023-02-05 00:26:10] [Epoch    61/  500] trn/posterior_energy  2.512e+06, trn/neg_log_likelihood  2.630e+03, trn/neg_log_prior  2.509e+06, trn/lr  9.643e-07, val/acc 8.247e-01, val/nll 6.484e-01
[2023-02-05 00:26:22] [Epoch    62/  500] trn/posterior_energy  2.511e+06, trn/neg_log_likelihood  2.493e+03, trn/neg_log_prior  2.509e+06, trn/lr  9.631e-07, val/acc 8.040e-01, val/nll 7.424e-01
[2023-02-05 00:26:33] [Epoch    63/  500] trn/posterior_energy  2.511e+06, trn/neg_log_likelihood  2.584e+03, trn/neg_log_prior  2.509e+06, trn/lr  9.619e-07, val/acc 8.239e-01, val/nll 6.509e-01
[2023-02-05 00:26:45] [Epoch    64/  500] trn/posterior_energy  2.511e+06, trn/neg_log_likelihood  2.510e+03, trn/neg_log_prior  2.509e+06, trn/lr  9.607e-07, val/acc 8.029e-01, val/nll 7.611e-01
[2023-02-05 00:26:57] [Epoch    65/  500] trn/posterior_energy  2.511e+06, trn/neg_log_likelihood  2.315e+03, trn/neg_log_prior  2.508e+06, trn/lr  9.595e-07, val/acc 8.054e-01, val/nll 7.581e-01
[2023-02-05 00:27:09] [Epoch    66/  500] trn/posterior_energy  2.511e+06, trn/neg_log_likelihood  2.475e+03, trn/neg_log_prior  2.508e+06, trn/lr  9.583e-07, val/acc 8.160e-01, val/nll 7.012e-01
[2023-02-05 00:27:20] [Epoch    67/  500] trn/posterior_energy  2.511e+06, trn/neg_log_likelihood  2.601e+03, trn/neg_log_prior  2.508e+06, trn/lr  9.570e-07, val/acc 8.165e-01, val/nll 7.113e-01
[2023-02-05 00:27:32] [Epoch    68/  500] trn/posterior_energy  2.511e+06, trn/neg_log_likelihood  2.501e+03, trn/neg_log_prior  2.508e+06, trn/lr  9.557e-07, val/acc 8.100e-01, val/nll 6.987e-01
[2023-02-05 00:27:44] [Epoch    69/  500] trn/posterior_energy  2.511e+06, trn/neg_log_likelihood  2.697e+03, trn/neg_log_prior  2.508e+06, trn/lr  9.544e-07, val/acc 8.114e-01, val/nll 7.012e-01
[2023-02-05 00:27:56] [Epoch    70/  500] trn/posterior_energy  2.510e+06, trn/neg_log_likelihood  2.278e+03, trn/neg_log_prior  2.508e+06, trn/lr  9.531e-07, val/acc 8.128e-01, val/nll 7.418e-01
[2023-02-05 00:28:08] [Epoch    71/  500] trn/posterior_energy  2.511e+06, trn/neg_log_likelihood  2.831e+03, trn/neg_log_prior  2.508e+06, trn/lr  9.517e-07, val/acc 8.215e-01, val/nll 6.614e-01
[2023-02-05 00:28:20] [Epoch    72/  500] trn/posterior_energy  2.510e+06, trn/neg_log_likelihood  2.313e+03, trn/neg_log_prior  2.508e+06, trn/lr  9.504e-07, val/acc 8.115e-01, val/nll 7.248e-01
[2023-02-05 00:28:31] [Epoch    73/  500] trn/posterior_energy  2.510e+06, trn/neg_log_likelihood  2.263e+03, trn/neg_log_prior  2.508e+06, trn/lr  9.490e-07, val/acc 8.284e-01, val/nll 6.432e-01
[2023-02-05 00:28:43] [Epoch    74/  500] trn/posterior_energy  2.510e+06, trn/neg_log_likelihood  2.606e+03, trn/neg_log_prior  2.508e+06, trn/lr  9.476e-07, val/acc 8.195e-01, val/nll 6.910e-01
[2023-02-05 00:28:55] [Epoch    75/  500] trn/posterior_energy  2.510e+06, trn/neg_log_likelihood  2.080e+03, trn/neg_log_prior  2.508e+06, trn/lr  9.462e-07, val/acc 8.139e-01, val/nll 6.868e-01
[2023-02-05 00:29:07] [Epoch    76/  500] trn/posterior_energy  2.510e+06, trn/neg_log_likelihood  2.142e+03, trn/neg_log_prior  2.508e+06, trn/lr  9.448e-07, val/acc 8.248e-01, val/nll 7.042e-01
[2023-02-05 00:29:19] [Epoch    77/  500] trn/posterior_energy  2.510e+06, trn/neg_log_likelihood  2.675e+03, trn/neg_log_prior  2.508e+06, trn/lr  9.433e-07, val/acc 8.027e-01, val/nll 7.525e-01
[2023-02-05 00:29:31] [Epoch    78/  500] trn/posterior_energy  2.510e+06, trn/neg_log_likelihood  2.624e+03, trn/neg_log_prior  2.508e+06, trn/lr  9.419e-07, val/acc 8.142e-01, val/nll 7.219e-01
