[2023-02-13 04:30:18] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-13 04:30:18] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 200
- args.num_epochs_noisy  : 0
- args.prior_precision   : 5.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0200-0000_lr-0.0000010_mo-0.99_pr-01/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-13 04:34:26] [Cycle   1/ 30][Epoch  69/200] trn/posterior_energy  5.704e+03, trn/neg_log_likelihood  1.783e+04, trn/neg_log_prior -1.212e+04, trn/lr  7.374e-07, trn/temperature  0.000e+00, val/acc 7.877e-01, val/nll 6.229e-01
[2023-02-13 04:34:29] [Cycle   1/ 30][Epoch  70/200] trn/posterior_energy  5.988e+03, trn/neg_log_likelihood  1.821e+04, trn/neg_log_prior -1.222e+04, trn/lr  7.305e-07, trn/temperature  0.000e+00, val/acc 7.888e-01, val/nll 6.260e-01
[2023-02-13 04:34:33] [Cycle   1/ 30][Epoch  71/200] trn/posterior_energy  5.661e+03, trn/neg_log_likelihood  1.770e+04, trn/neg_log_prior -1.204e+04, trn/lr  7.235e-07, trn/temperature  0.000e+00, val/acc 7.783e-01, val/nll 6.558e-01
[2023-02-13 04:34:36] [Cycle   1/ 30][Epoch  72/200] trn/posterior_energy  5.780e+03, trn/neg_log_likelihood  1.780e+04, trn/neg_log_prior -1.202e+04, trn/lr  7.164e-07, trn/temperature  0.000e+00, val/acc 7.739e-01, val/nll 6.854e-01
[2023-02-13 04:34:39] [Cycle   1/ 30][Epoch  73/200] trn/posterior_energy  5.373e+03, trn/neg_log_likelihood  1.754e+04, trn/neg_log_prior -1.216e+04, trn/lr  7.093e-07, trn/temperature  0.000e+00, val/acc 7.775e-01, val/nll 6.785e-01
[2023-02-13 04:34:43] [Cycle   1/ 30][Epoch  74/200] trn/posterior_energy  4.101e+03, trn/neg_log_likelihood  1.613e+04, trn/neg_log_prior -1.202e+04, trn/lr  7.022e-07, trn/temperature  0.000e+00, val/acc 7.969e-01, val/nll 6.083e-01
[2023-02-13 04:34:46] [Cycle   1/ 30][Epoch  75/200] trn/posterior_energy  3.891e+03, trn/neg_log_likelihood  1.628e+04, trn/neg_log_prior -1.239e+04, trn/lr  6.950e-07, trn/temperature  0.000e+00, val/acc 8.007e-01, val/nll 6.061e-01
[2023-02-13 04:34:49] [Cycle   1/ 30][Epoch  76/200] trn/posterior_energy  4.181e+03, trn/neg_log_likelihood  1.646e+04, trn/neg_log_prior -1.228e+04, trn/lr  6.877e-07, trn/temperature  0.000e+00, val/acc 7.840e-01, val/nll 6.555e-01
[2023-02-13 04:34:52] [Cycle   1/ 30][Epoch  77/200] trn/posterior_energy  3.948e+03, trn/neg_log_likelihood  1.609e+04, trn/neg_log_prior -1.214e+04, trn/lr  6.804e-07, trn/temperature  0.000e+00, val/acc 7.820e-01, val/nll 6.935e-01
[2023-02-13 04:34:56] [Cycle   1/ 30][Epoch  78/200] trn/posterior_energy  4.326e+03, trn/neg_log_likelihood  1.640e+04, trn/neg_log_prior -1.208e+04, trn/lr  6.731e-07, trn/temperature  0.000e+00, val/acc 7.819e-01, val/nll 6.459e-01
