[2023-05-31 13:25:45] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-05-31 13:25:45] Command line arguments:
- args.data_root             : /mnt/local/datasets/manual/
- args.data_name             : imagenet2012
- args.resnet_depth          : 34
- args.resnet_width          : 1
- args.batch_size            : 2048
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 64000
- args.optim_lr              : 0.8
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.0
- args.optim_global_clipping : None
- args.save                  : ./save/imagenet2012/resnet_34x1-batch_2048-iter_64k-lr_0.8-wd_0.0001-fp16/42/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-05-31 13:25:47] Multiple local devices are detected:
[StreamExecutorGpuDevice(id=0, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=1, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=2, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=3, process_index=0, slice_index=0)]

[2023-05-31 13:26:32] images.shape: (4, 512, 224, 224, 3), output.shape: (4, 512, 512)
[2023-05-31 18:01:13] [Iter   41000/  64000] trn/loss 1.862e+00, trn/negative_log_likelihood 1.862e+00, trn/w_norm 1.268e+02, trn/g_norm 1.023e+00, trn/lr 2.860e-01, trn/dyn_scale 6.554e+04, val/acc 5.790e-01, val/nll 1.756e+00, val/best_acc 5.790e-01 (best_acc: 5.668e-01 -> 5.790e-01)
[2023-05-31 18:08:18] [Iter   42000/  64000] trn/loss 1.838e+00, trn/negative_log_likelihood 1.838e+00, trn/w_norm 1.256e+02, trn/g_norm 1.043e+00, trn/lr 2.653e-01, trn/dyn_scale 6.554e+04, val/acc 5.941e-01, val/nll 1.690e+00, val/best_acc 5.941e-01 (best_acc: 5.790e-01 -> 5.941e-01)
[2023-05-31 18:15:38] [Iter   43000/  64000] trn/loss 1.806e+00, trn/negative_log_likelihood 1.806e+00, trn/w_norm 1.242e+02, trn/g_norm 1.066e+00, trn/lr 2.449e-01, trn/dyn_scale 6.554e+04, val/acc 5.997e-01, val/nll 1.644e+00, val/best_acc 5.997e-01 (best_acc: 5.941e-01 -> 5.997e-01)
[2023-05-31 18:22:58] [Iter   44000/  64000] trn/loss 1.774e+00, trn/negative_log_likelihood 1.774e+00, trn/w_norm 1.228e+02, trn/g_norm 1.089e+00, trn/lr 2.251e-01, trn/dyn_scale 6.554e+04, val/acc 5.883e-01, val/nll 1.702e+00, val/best_acc 5.997e-01
[2023-05-31 18:30:16] [Iter   45000/  64000] trn/loss 1.745e+00, trn/negative_log_likelihood 1.745e+00, trn/w_norm 1.214e+02, trn/g_norm 1.115e+00, trn/lr 2.057e-01, trn/dyn_scale 6.554e+04, val/acc 6.120e-01, val/nll 1.598e+00, val/best_acc 6.120e-01 (best_acc: 5.997e-01 -> 6.120e-01)
[2023-05-31 18:37:29] [Iter   46000/  64000] trn/loss 1.704e+00, trn/negative_log_likelihood 1.704e+00, trn/w_norm 1.199e+02, trn/g_norm 1.140e+00, trn/lr 1.870e-01, trn/dyn_scale 6.554e+04, val/acc 6.217e-01, val/nll 1.544e+00, val/best_acc 6.217e-01 (best_acc: 6.120e-01 -> 6.217e-01)
[2023-05-31 18:44:59] [Iter   47000/  64000] trn/loss 1.677e+00, trn/negative_log_likelihood 1.677e+00, trn/w_norm 1.184e+02, trn/g_norm 1.169e+00, trn/lr 1.688e-01, trn/dyn_scale 6.554e+04, val/acc 6.248e-01, val/nll 1.551e+00, val/best_acc 6.248e-01 (best_acc: 6.217e-01 -> 6.248e-01)
[2023-05-31 18:52:36] [Iter   48000/  64000] trn/loss 1.639e+00, trn/negative_log_likelihood 1.639e+00, trn/w_norm 1.169e+02, trn/g_norm 1.200e+00, trn/lr 1.514e-01, trn/dyn_scale 6.554e+04, val/acc 6.365e-01, val/nll 1.486e+00, val/best_acc 6.365e-01 (best_acc: 6.248e-01 -> 6.365e-01)
[2023-05-31 19:00:10] [Iter   49000/  64000] trn/loss 1.600e+00, trn/negative_log_likelihood 1.600e+00, trn/w_norm 1.153e+02, trn/g_norm 1.230e+00, trn/lr 1.347e-01, trn/dyn_scale 6.554e+04, val/acc 6.432e-01, val/nll 1.462e+00, val/best_acc 6.432e-01 (best_acc: 6.365e-01 -> 6.432e-01)
[2023-05-31 19:07:39] [Iter   50000/  64000] trn/loss 1.565e+00, trn/negative_log_likelihood 1.565e+00, trn/w_norm 1.137e+02, trn/g_norm 1.266e+00, trn/lr 1.187e-01, trn/dyn_scale 6.554e+04, val/acc 6.687e-01, val/nll 1.351e+00, val/best_acc 6.687e-01 (best_acc: 6.432e-01 -> 6.687e-01)
