[2023-02-11 07:39:40] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-11 07:39:40] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 200
- args.num_epochs_noisy  : 0
- args.prior_precision   : 20.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0200-0000_lr-0.0000001_mo-0.99_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-11 07:43:16] [Cycle   1/ 30][Epoch  55/200] trn/posterior_energy  1.880e+05, trn/neg_log_likelihood  1.088e+04, trn/neg_log_prior  1.771e+05, trn/lr  8.277e-08, trn/temperature  0.000e+00, val/acc 7.875e-01, val/nll 6.751e-01
[2023-02-11 07:43:20] [Cycle   1/ 30][Epoch  56/200] trn/posterior_energy  1.864e+05, trn/neg_log_likelihood  9.305e+03, trn/neg_log_prior  1.771e+05, trn/lr  8.217e-08, trn/temperature  0.000e+00, val/acc 7.942e-01, val/nll 6.649e-01
[2023-02-11 07:43:23] [Cycle   1/ 30][Epoch  57/200] trn/posterior_energy  1.871e+05, trn/neg_log_likelihood  1.004e+04, trn/neg_log_prior  1.770e+05, trn/lr  8.157e-08, trn/temperature  0.000e+00, val/acc 7.923e-01, val/nll 6.719e-01
[2023-02-11 07:43:27] [Cycle   1/ 30][Epoch  58/200] trn/posterior_energy  1.874e+05, trn/neg_log_likelihood  1.029e+04, trn/neg_log_prior  1.771e+05, trn/lr  8.095e-08, trn/temperature  0.000e+00, val/acc 8.060e-01, val/nll 6.297e-01
[2023-02-11 07:43:30] [Cycle   1/ 30][Epoch  59/200] trn/posterior_energy  1.853e+05, trn/neg_log_likelihood  8.314e+03, trn/neg_log_prior  1.770e+05, trn/lr  8.033e-08, trn/temperature  0.000e+00, val/acc 7.884e-01, val/nll 7.133e-01
[2023-02-11 07:43:34] [Cycle   1/ 30][Epoch  60/200] trn/posterior_energy  1.864e+05, trn/neg_log_likelihood  9.575e+03, trn/neg_log_prior  1.769e+05, trn/lr  7.971e-08, trn/temperature  0.000e+00, val/acc 7.778e-01, val/nll 7.421e-01
[2023-02-11 07:43:38] [Cycle   1/ 30][Epoch  61/200] trn/posterior_energy  1.868e+05, trn/neg_log_likelihood  9.821e+03, trn/neg_log_prior  1.770e+05, trn/lr  7.907e-08, trn/temperature  0.000e+00, val/acc 7.947e-01, val/nll 6.543e-01
[2023-02-11 07:43:41] [Cycle   1/ 30][Epoch  62/200] trn/posterior_energy  1.869e+05, trn/neg_log_likelihood  9.878e+03, trn/neg_log_prior  1.770e+05, trn/lr  7.843e-08, trn/temperature  0.000e+00, val/acc 8.001e-01, val/nll 6.475e-01
[2023-02-11 07:43:45] [Cycle   1/ 30][Epoch  63/200] trn/posterior_energy  1.856e+05, trn/neg_log_likelihood  8.540e+03, trn/neg_log_prior  1.771e+05, trn/lr  7.778e-08, trn/temperature  0.000e+00, val/acc 7.967e-01, val/nll 6.664e-01
[2023-02-11 07:43:48] [Cycle   1/ 30][Epoch  64/200] trn/posterior_energy  1.857e+05, trn/neg_log_likelihood  8.659e+03, trn/neg_log_prior  1.770e+05, trn/lr  7.712e-08, trn/temperature  0.000e+00, val/acc 7.923e-01, val/nll 7.073e-01
