[2023-02-07 06:16:02] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-07 06:16:02] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 200
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0200_lr-0.0000003_mo-0.97_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-07 06:16:37] [Cycle   1/ 30][Epoch   1/200] trn/posterior_energy -3.295e+04, trn/neg_log_likelihood  8.892e+04, trn/neg_log_prior -1.219e+05, trn/lr  3.000e-07, trn/temperature  1.000e+00, val/acc 2.410e-01, val/nll 1.905e+00
[2023-02-07 10:34:08] [Cycle  19/ 30][Epoch 199/200] trn/posterior_energy  2.430e+04, trn/neg_log_likelihood  1.044e+04, trn/neg_log_prior  1.386e+04, trn/lr  4.323e-11, trn/temperature  1.000e+00, val/acc 8.260e-01, val/nll 5.582e-01
[2023-02-07 10:34:13] [Cycle  19/ 30][Epoch 200/200] trn/posterior_energy  2.430e+04, trn/neg_log_likelihood  1.044e+04, trn/neg_log_prior  1.386e+04, trn/lr  6.186e-12, trn/temperature  1.000e+00, val/acc 8.258e-01, val/nll 5.583e-01, val/ens_acc 8.733e-01, val/ens_nll 3.912e-01 (test_acc: 8.211e-01, test_nll: 5.784e-01, test_ens_acc: 8.698e-01, test_ens_nll: 4.006e-01)
[2023-02-07 10:34:17] [Cycle  20/ 30][Epoch   1/200] trn/posterior_energy  3.226e+04, trn/neg_log_likelihood  1.849e+04, trn/neg_log_prior  1.376e+04, trn/lr  3.000e-07, trn/temperature  1.000e+00, val/acc 7.861e-01, val/nll 6.553e-01
[2023-02-07 10:34:21] [Cycle  20/ 30][Epoch   2/200] trn/posterior_energy  3.164e+04, trn/neg_log_likelihood  1.782e+04, trn/neg_log_prior  1.382e+04, trn/lr  3.000e-07, trn/temperature  1.000e+00, val/acc 8.035e-01, val/nll 5.867e-01
[2023-02-07 10:34:25] [Cycle  20/ 30][Epoch   3/200] trn/posterior_energy  3.134e+04, trn/neg_log_likelihood  1.739e+04, trn/neg_log_prior  1.396e+04, trn/lr  2.999e-07, trn/temperature  1.000e+00, val/acc 7.988e-01, val/nll 6.098e-01
[2023-02-07 10:34:29] [Cycle  20/ 30][Epoch   4/200] trn/posterior_energy  3.097e+04, trn/neg_log_likelihood  1.698e+04, trn/neg_log_prior  1.399e+04, trn/lr  2.998e-07, trn/temperature  1.000e+00, val/acc 8.004e-01, val/nll 6.037e-01
[2023-02-07 10:34:34] [Cycle  20/ 30][Epoch   5/200] trn/posterior_energy  3.148e+04, trn/neg_log_likelihood  1.739e+04, trn/neg_log_prior  1.409e+04, trn/lr  2.996e-07, trn/temperature  1.000e+00, val/acc 7.983e-01, val/nll 6.127e-01
[2023-02-07 10:34:38] [Cycle  20/ 30][Epoch   6/200] trn/posterior_energy  3.136e+04, trn/neg_log_likelihood  1.714e+04, trn/neg_log_prior  1.422e+04, trn/lr  2.994e-07, trn/temperature  1.000e+00, val/acc 8.022e-01, val/nll 5.905e-01
[2023-02-07 10:34:42] [Cycle  20/ 30][Epoch   7/200] trn/posterior_energy  3.133e+04, trn/neg_log_likelihood  1.699e+04, trn/neg_log_prior  1.434e+04, trn/lr  2.992e-07, trn/temperature  1.000e+00, val/acc 7.884e-01, val/nll 6.472e-01
[2023-02-07 10:34:46] [Cycle  20/ 30][Epoch   8/200] trn/posterior_energy  3.091e+04, trn/neg_log_likelihood  1.659e+04, trn/neg_log_prior  1.433e+04, trn/lr  2.990e-07, trn/temperature  1.000e+00, val/acc 8.049e-01, val/nll 6.040e-01
[2023-02-07 10:34:50] [Cycle  20/ 30][Epoch   9/200] trn/posterior_energy  3.177e+04, trn/neg_log_likelihood  1.744e+04, trn/neg_log_prior  1.433e+04, trn/lr  2.987e-07, trn/temperature  1.000e+00, val/acc 8.153e-01, val/nll 5.468e-01
[2023-02-07 10:34:54] [Cycle  20/ 30][Epoch  10/200] trn/posterior_energy  3.116e+04, trn/neg_log_likelihood  1.672e+04, trn/neg_log_prior  1.444e+04, trn/lr  2.983e-07, trn/temperature  1.000e+00, val/acc 8.077e-01, val/nll 5.777e-01
[2023-02-07 10:34:58] [Cycle  20/ 30][Epoch  11/200] trn/posterior_energy  3.080e+04, trn/neg_log_likelihood  1.641e+04, trn/neg_log_prior  1.439e+04, trn/lr  2.980e-07, trn/temperature  1.000e+00, val/acc 8.104e-01, val/nll 5.760e-01
[2023-02-07 10:35:02] [Cycle  20/ 30][Epoch  12/200] trn/posterior_energy  3.134e+04, trn/neg_log_likelihood  1.687e+04, trn/neg_log_prior  1.447e+04, trn/lr  2.976e-07, trn/temperature  1.000e+00, val/acc 8.033e-01, val/nll 5.836e-01
[2023-02-07 10:35:06] [Cycle  20/ 30][Epoch  13/200] trn/posterior_energy  3.118e+04, trn/neg_log_likelihood  1.670e+04, trn/neg_log_prior  1.448e+04, trn/lr  2.971e-07, trn/temperature  1.000e+00, val/acc 8.009e-01, val/nll 6.106e-01
[2023-02-07 10:35:10] [Cycle  20/ 30][Epoch  14/200] trn/posterior_energy  3.100e+04, trn/neg_log_likelihood  1.658e+04, trn/neg_log_prior  1.442e+04, trn/lr  2.966e-07, trn/temperature  1.000e+00, val/acc 8.096e-01, val/nll 5.734e-01
[2023-02-07 10:35:14] [Cycle  20/ 30][Epoch  15/200] trn/posterior_energy  3.119e+04, trn/neg_log_likelihood  1.690e+04, trn/neg_log_prior  1.429e+04, trn/lr  2.961e-07, trn/temperature  1.000e+00, val/acc 8.155e-01, val/nll 5.521e-01
[2023-02-07 10:35:18] [Cycle  20/ 30][Epoch  16/200] trn/posterior_energy  3.085e+04, trn/neg_log_likelihood  1.658e+04, trn/neg_log_prior  1.428e+04, trn/lr  2.956e-07, trn/temperature  1.000e+00, val/acc 8.059e-01, val/nll 5.862e-01
[2023-02-07 10:35:22] [Cycle  20/ 30][Epoch  17/200] trn/posterior_energy  3.111e+04, trn/neg_log_likelihood  1.684e+04, trn/neg_log_prior  1.426e+04, trn/lr  2.950e-07, trn/temperature  1.000e+00, val/acc 8.115e-01, val/nll 5.663e-01
[2023-02-07 10:35:26] [Cycle  20/ 30][Epoch  18/200] trn/posterior_energy  3.072e+04, trn/neg_log_likelihood  1.639e+04, trn/neg_log_prior  1.433e+04, trn/lr  2.944e-07, trn/temperature  1.000e+00, val/acc 8.037e-01, val/nll 5.781e-01
[2023-02-07 10:35:30] [Cycle  20/ 30][Epoch  19/200] trn/posterior_energy  3.085e+04, trn/neg_log_likelihood  1.653e+04, trn/neg_log_prior  1.432e+04, trn/lr  2.937e-07, trn/temperature  1.000e+00, val/acc 7.787e-01, val/nll 6.747e-01
[2023-02-07 10:35:34] [Cycle  20/ 30][Epoch  20/200] trn/posterior_energy  3.121e+04, trn/neg_log_likelihood  1.682e+04, trn/neg_log_prior  1.439e+04, trn/lr  2.930e-07, trn/temperature  1.000e+00, val/acc 8.121e-01, val/nll 5.670e-01
[2023-02-07 10:35:38] [Cycle  20/ 30][Epoch  21/200] trn/posterior_energy  3.074e+04, trn/neg_log_likelihood  1.635e+04, trn/neg_log_prior  1.438e+04, trn/lr  2.923e-07, trn/temperature  1.000e+00, val/acc 8.134e-01, val/nll 5.604e-01
[2023-02-07 10:35:43] [Cycle  20/ 30][Epoch  22/200] trn/posterior_energy  3.104e+04, trn/neg_log_likelihood  1.674e+04, trn/neg_log_prior  1.430e+04, trn/lr  2.915e-07, trn/temperature  1.000e+00, val/acc 7.997e-01, val/nll 6.071e-01
[2023-02-07 10:35:47] [Cycle  20/ 30][Epoch  23/200] trn/posterior_energy  3.044e+04, trn/neg_log_likelihood  1.615e+04, trn/neg_log_prior  1.429e+04, trn/lr  2.907e-07, trn/temperature  1.000e+00, val/acc 8.043e-01, val/nll 5.871e-01
[2023-02-07 10:35:51] [Cycle  20/ 30][Epoch  24/200] trn/posterior_energy  3.066e+04, trn/neg_log_likelihood  1.635e+04, trn/neg_log_prior  1.431e+04, trn/lr  2.899e-07, trn/temperature  1.000e+00, val/acc 8.138e-01, val/nll 5.489e-01
[2023-02-07 10:35:55] [Cycle  20/ 30][Epoch  25/200] trn/posterior_energy  3.072e+04, trn/neg_log_likelihood  1.629e+04, trn/neg_log_prior  1.443e+04, trn/lr  2.890e-07, trn/temperature  1.000e+00, val/acc 8.158e-01, val/nll 5.400e-01
[2023-02-07 10:35:59] [Cycle  20/ 30][Epoch  26/200] trn/posterior_energy  3.059e+04, trn/neg_log_likelihood  1.616e+04, trn/neg_log_prior  1.444e+04, trn/lr  2.881e-07, trn/temperature  1.000e+00, val/acc 8.154e-01, val/nll 5.429e-01
[2023-02-07 10:36:03] [Cycle  20/ 30][Epoch  27/200] trn/posterior_energy  3.032e+04, trn/neg_log_likelihood  1.588e+04, trn/neg_log_prior  1.445e+04, trn/lr  2.872e-07, trn/temperature  1.000e+00, val/acc 8.181e-01, val/nll 5.574e-01
[2023-02-07 10:36:07] [Cycle  20/ 30][Epoch  28/200] trn/posterior_energy  3.084e+04, trn/neg_log_likelihood  1.640e+04, trn/neg_log_prior  1.444e+04, trn/lr  2.862e-07, trn/temperature  1.000e+00, val/acc 8.202e-01, val/nll 5.378e-01
[2023-02-07 10:36:11] [Cycle  20/ 30][Epoch  29/200] trn/posterior_energy  3.091e+04, trn/neg_log_likelihood  1.654e+04, trn/neg_log_prior  1.437e+04, trn/lr  2.852e-07, trn/temperature  1.000e+00, val/acc 8.076e-01, val/nll 5.861e-01
[2023-02-07 10:36:15] [Cycle  20/ 30][Epoch  30/200] trn/posterior_energy  3.075e+04, trn/neg_log_likelihood  1.642e+04, trn/neg_log_prior  1.432e+04, trn/lr  2.842e-07, trn/temperature  1.000e+00, val/acc 8.084e-01, val/nll 5.720e-01
[2023-02-07 10:36:19] [Cycle  20/ 30][Epoch  31/200] trn/posterior_energy  3.066e+04, trn/neg_log_likelihood  1.626e+04, trn/neg_log_prior  1.440e+04, trn/lr  2.831e-07, trn/temperature  1.000e+00, val/acc 8.092e-01, val/nll 5.599e-01
[2023-02-07 10:36:23] [Cycle  20/ 30][Epoch  32/200] trn/posterior_energy  3.091e+04, trn/neg_log_likelihood  1.657e+04, trn/neg_log_prior  1.434e+04, trn/lr  2.820e-07, trn/temperature  1.000e+00, val/acc 8.153e-01, val/nll 5.439e-01
[2023-02-07 10:36:27] [Cycle  20/ 30][Epoch  33/200] trn/posterior_energy  3.054e+04, trn/neg_log_likelihood  1.625e+04, trn/neg_log_prior  1.429e+04, trn/lr  2.809e-07, trn/temperature  1.000e+00, val/acc 7.998e-01, val/nll 6.194e-01
[2023-02-07 10:36:31] [Cycle  20/ 30][Epoch  34/200] trn/posterior_energy  3.040e+04, trn/neg_log_likelihood  1.623e+04, trn/neg_log_prior  1.417e+04, trn/lr  2.797e-07, trn/temperature  1.000e+00, val/acc 8.070e-01, val/nll 5.716e-01
[2023-02-07 10:36:35] [Cycle  20/ 30][Epoch  35/200] trn/posterior_energy  3.051e+04, trn/neg_log_likelihood  1.638e+04, trn/neg_log_prior  1.413e+04, trn/lr  2.785e-07, trn/temperature  1.000e+00, val/acc 8.061e-01, val/nll 5.841e-01
[2023-02-07 10:36:39] [Cycle  20/ 30][Epoch  36/200] trn/posterior_energy  3.075e+04, trn/neg_log_likelihood  1.660e+04, trn/neg_log_prior  1.415e+04, trn/lr  2.773e-07, trn/temperature  1.000e+00, val/acc 8.131e-01, val/nll 5.609e-01
[2023-02-07 10:36:43] [Cycle  20/ 30][Epoch  37/200] trn/posterior_energy  3.074e+04, trn/neg_log_likelihood  1.665e+04, trn/neg_log_prior  1.410e+04, trn/lr  2.760e-07, trn/temperature  1.000e+00, val/acc 8.070e-01, val/nll 5.910e-01
[2023-02-07 10:36:47] [Cycle  20/ 30][Epoch  38/200] trn/posterior_energy  3.021e+04, trn/neg_log_likelihood  1.607e+04, trn/neg_log_prior  1.414e+04, trn/lr  2.747e-07, trn/temperature  1.000e+00, val/acc 8.121e-01, val/nll 5.503e-01
[2023-02-07 10:36:51] [Cycle  20/ 30][Epoch  39/200] trn/posterior_energy  3.028e+04, trn/neg_log_likelihood  1.606e+04, trn/neg_log_prior  1.422e+04, trn/lr  2.734e-07, trn/temperature  1.000e+00, val/acc 8.096e-01, val/nll 5.794e-01
[2023-02-07 10:36:55] [Cycle  20/ 30][Epoch  40/200] trn/posterior_energy  3.062e+04, trn/neg_log_likelihood  1.634e+04, trn/neg_log_prior  1.428e+04, trn/lr  2.720e-07, trn/temperature  1.000e+00, val/acc 8.159e-01, val/nll 5.487e-01
[2023-02-07 10:36:59] [Cycle  20/ 30][Epoch  41/200] trn/posterior_energy  3.071e+04, trn/neg_log_likelihood  1.640e+04, trn/neg_log_prior  1.431e+04, trn/lr  2.707e-07, trn/temperature  1.000e+00, val/acc 8.124e-01, val/nll 5.879e-01
[2023-02-07 10:37:03] [Cycle  20/ 30][Epoch  42/200] trn/posterior_energy  3.024e+04, trn/neg_log_likelihood  1.582e+04, trn/neg_log_prior  1.442e+04, trn/lr  2.692e-07, trn/temperature  1.000e+00, val/acc 8.197e-01, val/nll 5.346e-01
[2023-02-07 10:37:07] [Cycle  20/ 30][Epoch  43/200] trn/posterior_energy  3.074e+04, trn/neg_log_likelihood  1.634e+04, trn/neg_log_prior  1.440e+04, trn/lr  2.678e-07, trn/temperature  1.000e+00, val/acc 8.134e-01, val/nll 5.656e-01
[2023-02-07 10:37:11] [Cycle  20/ 30][Epoch  44/200] trn/posterior_energy  3.040e+04, trn/neg_log_likelihood  1.595e+04, trn/neg_log_prior  1.445e+04, trn/lr  2.663e-07, trn/temperature  1.000e+00, val/acc 8.093e-01, val/nll 5.572e-01
[2023-02-07 10:37:15] [Cycle  20/ 30][Epoch  45/200] trn/posterior_energy  3.056e+04, trn/neg_log_likelihood  1.620e+04, trn/neg_log_prior  1.437e+04, trn/lr  2.648e-07, trn/temperature  1.000e+00, val/acc 8.064e-01, val/nll 5.762e-01
[2023-02-07 10:37:19] [Cycle  20/ 30][Epoch  46/200] trn/posterior_energy  3.027e+04, trn/neg_log_likelihood  1.596e+04, trn/neg_log_prior  1.430e+04, trn/lr  2.633e-07, trn/temperature  1.000e+00, val/acc 8.021e-01, val/nll 5.863e-01
[2023-02-07 10:37:23] [Cycle  20/ 30][Epoch  47/200] trn/posterior_energy  3.014e+04, trn/neg_log_likelihood  1.575e+04, trn/neg_log_prior  1.439e+04, trn/lr  2.617e-07, trn/temperature  1.000e+00, val/acc 8.201e-01, val/nll 5.418e-01
[2023-02-07 10:37:27] [Cycle  20/ 30][Epoch  48/200] trn/posterior_energy  3.027e+04, trn/neg_log_likelihood  1.586e+04, trn/neg_log_prior  1.441e+04, trn/lr  2.601e-07, trn/temperature  1.000e+00, val/acc 8.185e-01, val/nll 5.447e-01
[2023-02-07 10:37:32] [Cycle  20/ 30][Epoch  49/200] trn/posterior_energy  3.001e+04, trn/neg_log_likelihood  1.554e+04, trn/neg_log_prior  1.447e+04, trn/lr  2.585e-07, trn/temperature  1.000e+00, val/acc 8.166e-01, val/nll 5.660e-01
[2023-02-07 10:37:36] [Cycle  20/ 30][Epoch  50/200] trn/posterior_energy  3.034e+04, trn/neg_log_likelihood  1.595e+04, trn/neg_log_prior  1.439e+04, trn/lr  2.569e-07, trn/temperature  1.000e+00, val/acc 8.087e-01, val/nll 5.847e-01
[2023-02-07 10:37:40] [Cycle  20/ 30][Epoch  51/200] trn/posterior_energy  2.970e+04, trn/neg_log_likelihood  1.529e+04, trn/neg_log_prior  1.442e+04, trn/lr  2.552e-07, trn/temperature  1.000e+00, val/acc 8.081e-01, val/nll 6.020e-01
[2023-02-07 10:37:44] [Cycle  20/ 30][Epoch  52/200] trn/posterior_energy  2.995e+04, trn/neg_log_likelihood  1.550e+04, trn/neg_log_prior  1.446e+04, trn/lr  2.535e-07, trn/temperature  1.000e+00, val/acc 8.135e-01, val/nll 5.637e-01
[2023-02-07 10:37:48] [Cycle  20/ 30][Epoch  53/200] trn/posterior_energy  3.018e+04, trn/neg_log_likelihood  1.570e+04, trn/neg_log_prior  1.448e+04, trn/lr  2.518e-07, trn/temperature  1.000e+00, val/acc 7.934e-01, val/nll 6.368e-01
[2023-02-07 10:37:52] [Cycle  20/ 30][Epoch  54/200] trn/posterior_energy  3.011e+04, trn/neg_log_likelihood  1.560e+04, trn/neg_log_prior  1.451e+04, trn/lr  2.501e-07, trn/temperature  1.000e+00, val/acc 8.107e-01, val/nll 5.583e-01
[2023-02-07 10:37:56] [Cycle  20/ 30][Epoch  55/200] trn/posterior_energy  3.001e+04, trn/neg_log_likelihood  1.548e+04, trn/neg_log_prior  1.453e+04, trn/lr  2.483e-07, trn/temperature  1.000e+00, val/acc 8.117e-01, val/nll 5.748e-01
[2023-02-07 10:38:00] [Cycle  20/ 30][Epoch  56/200] trn/posterior_energy  3.008e+04, trn/neg_log_likelihood  1.566e+04, trn/neg_log_prior  1.443e+04, trn/lr  2.465e-07, trn/temperature  1.000e+00, val/acc 8.071e-01, val/nll 5.693e-01
[2023-02-07 10:38:04] [Cycle  20/ 30][Epoch  57/200] trn/posterior_energy  2.993e+04, trn/neg_log_likelihood  1.552e+04, trn/neg_log_prior  1.441e+04, trn/lr  2.447e-07, trn/temperature  1.000e+00, val/acc 8.154e-01, val/nll 5.638e-01
[2023-02-07 10:38:08] [Cycle  20/ 30][Epoch  58/200] trn/posterior_energy  2.998e+04, trn/neg_log_likelihood  1.561e+04, trn/neg_log_prior  1.437e+04, trn/lr  2.429e-07, trn/temperature  1.000e+00, val/acc 8.138e-01, val/nll 5.572e-01
[2023-02-07 10:38:12] [Cycle  20/ 30][Epoch  59/200] trn/posterior_energy  2.967e+04, trn/neg_log_likelihood  1.529e+04, trn/neg_log_prior  1.437e+04, trn/lr  2.410e-07, trn/temperature  1.000e+00, val/acc 8.041e-01, val/nll 6.080e-01
[2023-02-07 10:38:16] [Cycle  20/ 30][Epoch  60/200] trn/posterior_energy  2.977e+04, trn/neg_log_likelihood  1.543e+04, trn/neg_log_prior  1.433e+04, trn/lr  2.391e-07, trn/temperature  1.000e+00, val/acc 8.124e-01, val/nll 5.702e-01
[2023-02-07 10:38:20] [Cycle  20/ 30][Epoch  61/200] trn/posterior_energy  3.030e+04, trn/neg_log_likelihood  1.588e+04, trn/neg_log_prior  1.442e+04, trn/lr  2.372e-07, trn/temperature  1.000e+00, val/acc 8.118e-01, val/nll 5.632e-01
[2023-02-07 10:38:24] [Cycle  20/ 30][Epoch  62/200] trn/posterior_energy  3.008e+04, trn/neg_log_likelihood  1.557e+04, trn/neg_log_prior  1.451e+04, trn/lr  2.353e-07, trn/temperature  1.000e+00, val/acc 8.213e-01, val/nll 5.398e-01
[2023-02-07 10:38:28] [Cycle  20/ 30][Epoch  63/200] trn/posterior_energy  3.005e+04, trn/neg_log_likelihood  1.548e+04, trn/neg_log_prior  1.457e+04, trn/lr  2.333e-07, trn/temperature  1.000e+00, val/acc 8.054e-01, val/nll 6.033e-01
[2023-02-07 10:38:32] [Cycle  20/ 30][Epoch  64/200] trn/posterior_energy  3.034e+04, trn/neg_log_likelihood  1.573e+04, trn/neg_log_prior  1.461e+04, trn/lr  2.314e-07, trn/temperature  1.000e+00, val/acc 8.118e-01, val/nll 5.529e-01
[2023-02-07 10:38:37] [Cycle  20/ 30][Epoch  65/200] trn/posterior_energy  3.019e+04, trn/neg_log_likelihood  1.558e+04, trn/neg_log_prior  1.461e+04, trn/lr  2.294e-07, trn/temperature  1.000e+00, val/acc 8.073e-01, val/nll 5.750e-01
[2023-02-07 10:38:41] [Cycle  20/ 30][Epoch  66/200] trn/posterior_energy  3.030e+04, trn/neg_log_likelihood  1.572e+04, trn/neg_log_prior  1.458e+04, trn/lr  2.274e-07, trn/temperature  1.000e+00, val/acc 8.149e-01, val/nll 5.538e-01
[2023-02-07 10:38:45] [Cycle  20/ 30][Epoch  67/200] trn/posterior_energy  2.978e+04, trn/neg_log_likelihood  1.521e+04, trn/neg_log_prior  1.457e+04, trn/lr  2.253e-07, trn/temperature  1.000e+00, val/acc 8.123e-01, val/nll 5.562e-01
[2023-02-07 10:38:49] [Cycle  20/ 30][Epoch  68/200] trn/posterior_energy  2.967e+04, trn/neg_log_likelihood  1.510e+04, trn/neg_log_prior  1.456e+04, trn/lr  2.233e-07, trn/temperature  1.000e+00, val/acc 8.111e-01, val/nll 5.549e-01
[2023-02-07 10:38:53] [Cycle  20/ 30][Epoch  69/200] trn/posterior_energy  2.951e+04, trn/neg_log_likelihood  1.495e+04, trn/neg_log_prior  1.456e+04, trn/lr  2.212e-07, trn/temperature  1.000e+00, val/acc 8.115e-01, val/nll 5.817e-01
[2023-02-07 10:38:57] [Cycle  20/ 30][Epoch  70/200] trn/posterior_energy  2.958e+04, trn/neg_log_likelihood  1.503e+04, trn/neg_log_prior  1.455e+04, trn/lr  2.191e-07, trn/temperature  1.000e+00, val/acc 8.131e-01, val/nll 5.638e-01
[2023-02-07 10:39:01] [Cycle  20/ 30][Epoch  71/200] trn/posterior_energy  2.956e+04, trn/neg_log_likelihood  1.498e+04, trn/neg_log_prior  1.458e+04, trn/lr  2.170e-07, trn/temperature  1.000e+00, val/acc 8.132e-01, val/nll 5.543e-01
[2023-02-07 10:39:05] [Cycle  20/ 30][Epoch  72/200] trn/posterior_energy  2.947e+04, trn/neg_log_likelihood  1.487e+04, trn/neg_log_prior  1.460e+04, trn/lr  2.149e-07, trn/temperature  1.000e+00, val/acc 8.138e-01, val/nll 5.472e-01
[2023-02-07 10:39:09] [Cycle  20/ 30][Epoch  73/200] trn/posterior_energy  3.011e+04, trn/neg_log_likelihood  1.547e+04, trn/neg_log_prior  1.464e+04, trn/lr  2.128e-07, trn/temperature  1.000e+00, val/acc 8.105e-01, val/nll 5.581e-01
[2023-02-07 10:39:13] [Cycle  20/ 30][Epoch  74/200] trn/posterior_energy  2.968e+04, trn/neg_log_likelihood  1.504e+04, trn/neg_log_prior  1.465e+04, trn/lr  2.107e-07, trn/temperature  1.000e+00, val/acc 8.163e-01, val/nll 5.552e-01
[2023-02-07 10:39:17] [Cycle  20/ 30][Epoch  75/200] trn/posterior_energy  2.994e+04, trn/neg_log_likelihood  1.529e+04, trn/neg_log_prior  1.465e+04, trn/lr  2.085e-07, trn/temperature  1.000e+00, val/acc 8.150e-01, val/nll 5.514e-01
[2023-02-07 10:39:21] [Cycle  20/ 30][Epoch  76/200] trn/posterior_energy  2.999e+04, trn/neg_log_likelihood  1.523e+04, trn/neg_log_prior  1.476e+04, trn/lr  2.063e-07, trn/temperature  1.000e+00, val/acc 8.102e-01, val/nll 5.642e-01
[2023-02-07 10:39:25] [Cycle  20/ 30][Epoch  77/200] trn/posterior_energy  3.013e+04, trn/neg_log_likelihood  1.523e+04, trn/neg_log_prior  1.491e+04, trn/lr  2.041e-07, trn/temperature  1.000e+00, val/acc 8.043e-01, val/nll 5.790e-01
[2023-02-07 10:39:29] [Cycle  20/ 30][Epoch  78/200] trn/posterior_energy  2.984e+04, trn/neg_log_likelihood  1.493e+04, trn/neg_log_prior  1.491e+04, trn/lr  2.019e-07, trn/temperature  1.000e+00, val/acc 8.199e-01, val/nll 5.308e-01
[2023-02-07 10:39:33] [Cycle  20/ 30][Epoch  79/200] trn/posterior_energy  2.958e+04, trn/neg_log_likelihood  1.466e+04, trn/neg_log_prior  1.492e+04, trn/lr  1.997e-07, trn/temperature  1.000e+00, val/acc 8.192e-01, val/nll 5.522e-01
[2023-02-07 10:39:37] [Cycle  20/ 30][Epoch  80/200] trn/posterior_energy  2.960e+04, trn/neg_log_likelihood  1.473e+04, trn/neg_log_prior  1.487e+04, trn/lr  1.975e-07, trn/temperature  1.000e+00, val/acc 8.204e-01, val/nll 5.412e-01
[2023-02-07 10:39:42] [Cycle  20/ 30][Epoch  81/200] trn/posterior_energy  2.989e+04, trn/neg_log_likelihood  1.497e+04, trn/neg_log_prior  1.492e+04, trn/lr  1.952e-07, trn/temperature  1.000e+00, val/acc 7.967e-01, val/nll 6.144e-01
[2023-02-07 10:39:46] [Cycle  20/ 30][Epoch  82/200] trn/posterior_energy  2.997e+04, trn/neg_log_likelihood  1.501e+04, trn/neg_log_prior  1.497e+04, trn/lr  1.930e-07, trn/temperature  1.000e+00, val/acc 8.084e-01, val/nll 5.707e-01
[2023-02-07 10:39:50] [Cycle  20/ 30][Epoch  83/200] trn/posterior_energy  2.953e+04, trn/neg_log_likelihood  1.459e+04, trn/neg_log_prior  1.494e+04, trn/lr  1.907e-07, trn/temperature  1.000e+00, val/acc 8.074e-01, val/nll 5.537e-01
[2023-02-07 10:39:54] [Cycle  20/ 30][Epoch  84/200] trn/posterior_energy  3.010e+04, trn/neg_log_likelihood  1.514e+04, trn/neg_log_prior  1.496e+04, trn/lr  1.884e-07, trn/temperature  1.000e+00, val/acc 8.169e-01, val/nll 5.509e-01
[2023-02-07 10:39:58] [Cycle  20/ 30][Epoch  85/200] trn/posterior_energy  2.952e+04, trn/neg_log_likelihood  1.457e+04, trn/neg_log_prior  1.494e+04, trn/lr  1.862e-07, trn/temperature  1.000e+00, val/acc 8.188e-01, val/nll 5.490e-01
[2023-02-07 10:40:02] [Cycle  20/ 30][Epoch  86/200] trn/posterior_energy  2.953e+04, trn/neg_log_likelihood  1.456e+04, trn/neg_log_prior  1.497e+04, trn/lr  1.839e-07, trn/temperature  1.000e+00, val/acc 8.223e-01, val/nll 5.355e-01
[2023-02-07 10:40:06] [Cycle  20/ 30][Epoch  87/200] trn/posterior_energy  2.980e+04, trn/neg_log_likelihood  1.483e+04, trn/neg_log_prior  1.497e+04, trn/lr  1.816e-07, trn/temperature  1.000e+00, val/acc 8.170e-01, val/nll 5.479e-01
[2023-02-07 10:40:10] [Cycle  20/ 30][Epoch  88/200] trn/posterior_energy  2.959e+04, trn/neg_log_likelihood  1.472e+04, trn/neg_log_prior  1.488e+04, trn/lr  1.793e-07, trn/temperature  1.000e+00, val/acc 8.132e-01, val/nll 5.642e-01
[2023-02-07 10:40:14] [Cycle  20/ 30][Epoch  89/200] trn/posterior_energy  2.944e+04, trn/neg_log_likelihood  1.469e+04, trn/neg_log_prior  1.475e+04, trn/lr  1.770e-07, trn/temperature  1.000e+00, val/acc 8.079e-01, val/nll 5.753e-01
[2023-02-07 10:40:18] [Cycle  20/ 30][Epoch  90/200] trn/posterior_energy  2.923e+04, trn/neg_log_likelihood  1.453e+04, trn/neg_log_prior  1.470e+04, trn/lr  1.746e-07, trn/temperature  1.000e+00, val/acc 8.202e-01, val/nll 5.350e-01
