[2023-02-03 21:10:53] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-03 21:10:53] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR100_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.9
- args.prior_precision   : 80.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR100_x32/R20-FRN-Swish/bs-0080_ne-0500_lr-0.0000030_mo-0.90_pr-05/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-03 21:14:11] [Epoch    45/  500] trn/posterior_energy  5.318e+05, trn/neg_log_likelihood  1.656e+05, trn/neg_log_prior  3.662e+05, trn/lr  2.942e-06, val/acc 6.493e-02, val/nll 4.006e+00
[2023-02-03 21:14:15] [Epoch    46/  500] trn/posterior_energy  5.315e+05, trn/neg_log_likelihood  1.653e+05, trn/neg_log_prior  3.662e+05, trn/lr  2.939e-06, val/acc 5.675e-02, val/nll 4.067e+00
[2023-02-03 21:14:19] [Epoch    47/  500] trn/posterior_energy  5.316e+05, trn/neg_log_likelihood  1.654e+05, trn/neg_log_prior  3.662e+05, trn/lr  2.936e-06, val/acc 6.471e-02, val/nll 3.983e+00
[2023-02-03 21:14:23] [Epoch    48/  500] trn/posterior_energy  5.319e+05, trn/neg_log_likelihood  1.659e+05, trn/neg_log_prior  3.660e+05, trn/lr  2.934e-06, val/acc 6.228e-02, val/nll 4.008e+00
[2023-02-03 21:14:27] [Epoch    49/  500] trn/posterior_energy  5.314e+05, trn/neg_log_likelihood  1.654e+05, trn/neg_log_prior  3.660e+05, trn/lr  2.931e-06, val/acc 6.648e-02, val/nll 4.042e+00
[2023-02-03 21:14:30] [Epoch    50/  500] trn/posterior_energy  5.317e+05, trn/neg_log_likelihood  1.653e+05, trn/neg_log_prior  3.664e+05, trn/lr  2.928e-06, val/acc 6.195e-02, val/nll 4.012e+00
[2023-02-03 21:14:34] [Epoch    51/  500] trn/posterior_energy  5.316e+05, trn/neg_log_likelihood  1.651e+05, trn/neg_log_prior  3.665e+05, trn/lr  2.925e-06, val/acc 6.029e-02, val/nll 4.046e+00
[2023-02-03 21:14:38] [Epoch    52/  500] trn/posterior_energy  5.310e+05, trn/neg_log_likelihood  1.648e+05, trn/neg_log_prior  3.662e+05, trn/lr  2.922e-06, val/acc 6.438e-02, val/nll 3.998e+00
[2023-02-03 21:14:42] [Epoch    53/  500] trn/posterior_energy  5.320e+05, trn/neg_log_likelihood  1.644e+05, trn/neg_log_prior  3.677e+05, trn/lr  2.919e-06, val/acc 5.144e-02, val/nll 4.088e+00
[2023-02-03 21:14:46] [Epoch    54/  500] trn/posterior_energy  5.313e+05, trn/neg_log_likelihood  1.643e+05, trn/neg_log_prior  3.670e+05, trn/lr  2.916e-06, val/acc 7.854e-02, val/nll 3.971e+00 (best_acc: 6.869e-02 -> 7.854e-02, test_acc: 7.850e-02, test_nll: 3.972e+00)
