[2023-02-04 19:13:57] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-04 19:13:57] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.7
- args.prior_precision   : 2.5
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000010_mo-0.70_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-04 19:14:12] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-04 19:28:46] [Epoch    67/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  6.299e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.570e-07, val/acc 8.336e-01, val/nll 8.490e-01
[2023-02-04 19:29:00] [Epoch    68/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  6.365e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.557e-07, val/acc 8.341e-01, val/nll 8.483e-01 (best_acc: 8.336e-01 -> 8.341e-01, test_acc: 8.270e-01, test_nll: 8.491e-01)
[2023-02-04 19:29:12] [Epoch    69/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  6.428e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.544e-07, val/acc 8.334e-01, val/nll 8.474e-01
[2023-02-04 19:29:24] [Epoch    70/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  6.492e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.531e-07, val/acc 8.337e-01, val/nll 8.466e-01
[2023-02-04 19:29:35] [Epoch    71/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  6.561e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.517e-07, val/acc 8.336e-01, val/nll 8.455e-01
[2023-02-04 19:29:47] [Epoch    72/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  6.627e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.504e-07, val/acc 8.335e-01, val/nll 8.436e-01
[2023-02-04 19:29:59] [Epoch    73/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  6.695e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.490e-07, val/acc 8.340e-01, val/nll 8.422e-01
[2023-02-04 19:30:11] [Epoch    74/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  6.762e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.476e-07, val/acc 8.332e-01, val/nll 8.416e-01
[2023-02-04 19:30:23] [Epoch    75/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  6.829e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.462e-07, val/acc 8.336e-01, val/nll 8.411e-01
[2023-02-04 19:30:34] [Epoch    76/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  6.904e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.448e-07, val/acc 8.335e-01, val/nll 8.404e-01
